Jugador,Porcetnaje_juegos_2011,RBI_2011,Porcentaje_bateo_2011,OPS_2011,Equipo_2011,Sueldo_2011
Cameron Maybin,0.846,40,0.264,0.716,SD,429100
Jason Bartlett,0.858,40,0.246,0.615,SD,4000000
Melvin Upton,0.944,81,0.243,0.759,TB,4825000
Peter Bourjos,0.907,43,0.271,0.765,LAA,414000
Cliff Pennington,0.914,58,0.264,0.687,OAK,420000
Seth Smith,0.907,59,0.284,0.83,COL,429000
Jon Jay,0.982,37,0.297,0.768,STL,416000
Danny Espinosa,0.981,66,0.236,0.737,WSH,415000
Chris Young,0.963,71,0.236,0.751,ARI,5200000
Chris Young,0.963,71,0.236,0.751,NYM,1100000
Chris Young,0.025,2,0.333,0.667,ARI,5200000
Chris Young,0.025,2,0.333,0.667,NYM,1100000
Pablo Sandoval,0.722,70,0.315,0.909,SF,500000
A.J. Pierzynski,0.796,48,0.287,0.728,CHW,2000000
Matt Holliday,0.765,75,0.296,0.912,STL,17050000
Brett Gardner,0.982,36,0.259,0.713,NYY,529500
Edwin Encarnacion,0.827,55,0.272,0.787,TOR,2000000
Raul Ibanez,0.889,84,0.245,0.707,PHI,12166668
Matt Wieters,0.858,68,0.262,0.778,BAL,452250
Jayson Werth,0.932,58,0.232,0.718,WSH,10571428
Gerardo Parra,0.87,46,0.292,0.784,ARI,426000
Carl Crawford,0.803,56,0.255,0.694,BOS,14857142
Aaron Hill,0.846,61,0.246,0.655,TOR,5000000
Dexter Fowler,0.772,45,0.266,0.796,COL,424000
Alex Presley,0.321,40,0.298,0.804,PIT,414000
Alex Presley,0.321,40,0.298,0.804,PIT,414000
Matt Joyce,0.87,75,0.277,0.825,TB,426500
Delmon Young,0.765,64,0.269,0.695,DET,5375000
Bobby Abreu,0.877,60,0.253,0.717,LAA,9000000
Brian McCann,0.79,71,0.27,0.817,ATL,6666666
Angel Pagan,0.759,56,0.262,0.694,NYM,3500000
Daniel Murphy,0.673,49,0.32,0.809,NYM,422000
Nelson Cruz,0.765,87,0.263,0.821,TEX,3650000
Adam Lind,0.772,87,0.251,0.734,TOR,5150000
Maicer Izturis,0.753,38,0.276,0.722,LAA,3266667
Marlon Byrd,0.735,35,0.276,0.719,CHC,5500000
Jemile Weeks,0.599,36,0.303,0.761,OAK,414000
Rickie Weeks,0.728,49,0.269,0.818,MIL,4500000
Alex Rios,0.895,44,0.227,0.613,CHW,12500000
Casey McGehee,0.957,67,0.223,0.626,MIL,468000
Kelly Johnson,0.907,58,0.222,0.717,ARI,5850000
Brennan Boesch,0.71,54,0.283,0.799,DET,430000
Robert Andino,0.858,36,0.263,0.67,BAL,421500
Josh Willingham,0.84,98,0.246,0.81,OAK,6000000
Ryan Roberts,0.883,65,0.249,0.768,ARI,423500
Mitch Moreland,0.827,51,0.259,0.733,TEX,426000
Mark Ellis,0.815,41,0.248,0.634,OAK,6000000
Mark Reynolds,0.957,86,0.221,0.806,BAL,5333333
Mike Napoli,0.698,75,0.32,1.046,TEX,5800000
Evan Longoria,0.821,99,0.244,0.85,TB,2500000
Marco Scutaro,0.698,54,0.299,0.781,BOS,5500000
Alfonso Soriano,0.846,88,0.244,0.759,CHC,19000000
Carlos Ruiz,0.815,40,0.283,0.754,PHI,2950000
Ryan Ludwick,0.858,75,0.237,0.674,SD,6775000
Nyjer Morgan,0.735,37,0.304,0.778,MIL,450000
Gordon Beckham,0.926,44,0.231,0.633,CHW,485000
Ryan Zimmerman,0.627,49,0.289,0.798,WSH,9025000
Jonathan Lucroy,0.84,59,0.265,0.703,MIL,424000
Justin Turner,0.722,51,0.26,0.69,NYM,414000
Carlos Pena,0.944,80,0.225,0.819,CHC,9959996
David Murphy,0.741,46,0.275,0.729,TEX,2400000
Chase Headley,0.698,44,0.289,0.773,SD,2325000
Clint Barmes,0.759,39,0.244,0.698,HOU,3925000
Kurt Suzuki,0.827,44,0.237,0.686,OAK,3437500
Brendan Ryan,0.759,39,0.248,0.639,SEA,1175000
Carlos Quentin,0.728,77,0.254,0.838,CHW,5050000
Miguel Olivo,0.803,62,0.224,0.641,SEA,2500000
David DeJesus,0.809,46,0.24,0.698,OAK,6000000
Colby Rasmus,0.796,53,0.225,0.688,TOR,443000
Skip Schumaker,0.722,38,0.283,0.685,STL,2700000
Wilson Ramos,0.702,52,0.267,0.779,WSH,415000
Ronny Cedeno,0.79,32,0.249,0.636,PIT,1850000
Alex Rodriguez,0.611,62,0.276,0.823,NYY,32000000
Chase Utley,0.636,44,0.259,0.769,PHI,15285714
Garrett Jones,0.914,58,0.244,0.753,PIT,455500
Brent Morel,0.778,41,0.245,0.653,CHW,414000
Jason Kubel,0.611,58,0.273,0.766,MIN,5250000
Justin Smoak,0.759,55,0.234,0.719,SEA,419000
Ryan Raburn,0.747,49,0.256,0.729,DET,1300000
Russell Martin,0.772,65,0.237,0.732,NYY,4075000
David Wright,0.63,61,0.255,0.771,NYM,14250000
David Freese,0.599,55,0.297,0.791,STL,416000
Cody Ross,0.747,52,0.24,0.73,SF,6300000
Chris Getz,0.728,26,0.255,0.6,KC,443000
J.P. Arencibia,0.796,78,0.219,0.72,TOR,417400
Geovany Soto,0.772,54,0.228,0.721,CHC,3000000
Chris Johnson,0.661,42,0.251,0.67,HOU,424000
Eric Thames,0.586,37,0.262,0.769,TOR,414000
Willie Bloomquist,0.599,26,0.266,0.657,ARI,750000
Nate Schierholtz,0.71,41,0.278,0.756,SF,432500
Ruben Tejada,0.593,36,0.284,0.696,NYM,414000
Lyle Overbay,0.747,47,0.234,0.67,PIT,5000000
Josh Thole,0.704,40,0.268,0.69,NYM,420000
Will Venable,0.747,44,0.246,0.704,SD,444400
Dustin Ackley,0.556,36,0.273,0.766,SEA,1500000
Jason Heyward,0.79,42,0.227,0.708,ATL,496500
Scott Sizemore,0.679,56,0.245,0.741,DET,414000
Jose Tabata,0.562,21,0.267,0.711,PIT,666667
Mike Moustakas,0.549,30,0.263,0.675,KC,414000
Lucas Duda,0.617,50,0.292,0.852,NYM,414000
Brett Wallace,0.71,29,0.259,0.703,HOU,418000
Daniel Descalso,0.914,28,0.264,0.687,STL,414000
Joe Mauer,0.506,30,0.287,0.729,MIN,23000000
Chris Denorfia,0.685,19,0.277,0.718,SD,800000
Jarrod Saltalamacchia,0.636,56,0.235,0.737,BOS,750000
Alexi Casilla,0.599,21,0.26,0.691,MIN,865000
Sean Rodriguez,0.809,36,0.223,0.679,TB,428600
Chris Iannetta,0.691,55,0.238,0.785,COL,2633333
Eduardo Nunez,0.691,30,0.265,0.698,NYY,419300
Stephen Drew,0.531,45,0.252,0.713,ARI,4650000
Nick Hundley,0.506,29,0.288,0.824,SD,439900
Tony Gwynn Jr.,0.845,22,0.256,0.66,LAD,675000
Mike Carp,0.488,46,0.276,0.791,SEA,414000
Jed Lowrie,0.543,36,0.252,0.685,BOS,450000
Rafael Furcal,0.54,28,0.231,0.646,STL,14000000
Endy Chavez,0.512,27,0.301,0.749,TEX,1250000
Rajai Davis,0.586,29,0.238,0.623,TOR,2500000
Reed Johnson,0.685,28,0.309,0.816,CHC,900000
Denard Span,0.432,16,0.264,0.687,MIN,1000000
Roger Bernadina,0.565,27,0.243,0.664,WSH,414000
Sam Fuld,0.648,27,0.24,0.673,TB,418300
Jordan Schafer,0.506,13,0.242,0.624,ATL,414000
John Mayberry Jr.,0.642,49,0.273,0.854,PHI,414000
Mike Aviles,0.562,39,0.255,0.698,BOS,640000
Franklin Gutierrez,0.568,19,0.224,0.534,SEA,4312500
Paul Janish,0.704,23,0.214,0.521,CIN,437500
Ryan Hanigan,0.562,31,0.267,0.714,CIN,550000
Josh Reddick,0.537,28,0.28,0.784,BOS,417500
Chris Heisey,0.741,50,0.255,0.797,CIN,419000
Ryan Sweeney,0.667,25,0.265,0.687,OAK,1400000
Jason Bourgeois,0.574,16,0.294,0.68,HOU,423000
Trevor Plouffe,0.5,31,0.238,0.697,MIN,414000
Jonathan Herrera,0.642,14,0.242,0.612,COL,419000
Dee Gordon,0.348,11,0.304,0.686,LAD,414000
Ramon Santiago,0.624,30,0.26,0.695,DET,1350000
Adam Dunn,0.753,42,0.159,0.569,CHW,12000000
Ryan Doumit,0.475,30,0.303,0.83,PIT,5200000
Nolan Reimold,0.537,45,0.247,0.781,BAL,414000
Jonny Gomes,0.741,43,0.209,0.714,CIN,1750000
Desmond Jennings,0.389,25,0.259,0.805,TB,414000
Humberto Quintero,0.488,25,0.241,0.575,HOU,1000000
Don Kelly,0.698,28,0.245,0.672,DET,423000
Allen Craig,0.463,40,0.315,0.917,STL,414000
Xavier Paul,0.795,20,0.255,0.638,LAD,419500
Nate McLouth,0.5,16,0.229,0.677,ATL,7000000
Jose Altuve,0.352,12,0.276,0.654,HOU,414000
Justin Morneau,0.426,30,0.227,0.618,MIN,15000000
J.D. Martinez,0.327,35,0.274,0.742,HOU,414000
Kevin Kouzmanoff,0.451,33,0.235,0.656,OAK,4750000
Juan Uribe,0.478,28,0.204,0.557,LAD,5000000
Brayan Pena,0.444,24,0.248,0.625,KC,660000
John Jaso,0.549,27,0.224,0.651,TB,427200
Jeff Baker,0.5,23,0.269,0.685,CHC,1175000
Chone Figgins,0.5,15,0.188,0.484,SEA,9500000
Chris Davis,0.364,19,0.266,0.707,BAL,418290
Josh Harrison,0.401,16,0.272,0.656,PIT,414000
Carlos Gomez,0.58,24,0.225,0.679,MIL,1500000
John McDonald,0.519,22,0.229,0.577,ARI,540983
Xavier Nady,0.506,35,0.248,0.646,ARI,1750000
Daric Barton,0.414,21,0.212,0.592,OAK,425000
Alejandro De Aza,0.333,23,0.329,0.92,CHW,414000
Jerry Sands,0.379,26,0.253,0.727,LAD,414000
Eric Young Jr.,0.475,10,0.248,0.64,COL,414000
Salvador Perez,0.241,21,0.331,0.834,KC,414000
Jose Molina,0.34,15,0.281,0.757,TOR,1200000
Jimmy Paredes,0.284,18,0.286,0.713,HOU,414000
Reid Brignac,0.568,15,0.193,0.448,TB,425400
Brian Bogusevic,0.537,15,0.287,0.805,HOU,416500
Kyle Seager,0.327,13,0.258,0.691,SEA,414000
Buster Posey,0.278,21,0.284,0.756,SF,575000
Chris Nelson,0.389,16,0.25,0.664,COL,414000
Domonic Brown,0.346,19,0.245,0.725,PHI,414000
Pedro Alvarez,0.457,19,0.192,0.561,PIT,2050000
Brett Lawrie,0.265,25,0.293,0.953,TOR,414000
Jeff Mathis,0.574,22,0.174,0.484,LAA,1700000
Eric Chavez,0.358,26,0.263,0.676,NYY,1500000
Travis Snider,0.303,30,0.225,0.616,TOR,435800
Eli Whiteside,0.506,17,0.197,0.574,SF,425000
Brandon Belt,0.389,18,0.225,0.718,SF,414000
Michael Martinez,0.543,24,0.196,0.54,PHI,414000
David Ross,0.321,23,0.263,0.761,ATL,1675000
Michael McKenry,0.358,11,0.222,0.598,PIT,414000
Brandon Crawford,0.407,21,0.204,0.584,SF,414000
Drew Butera,0.574,23,0.167,0.449,MIN,429000
Ike Davis,0.222,25,0.302,0.925,NYM,432000
Kyle Blanks,0.34,26,0.229,0.706,SD,424700
Paul Goldschmidt,0.296,26,0.25,0.808,ARI,414000
Nick Punto,0.389,20,0.278,0.809,STL,750000
Hank Conger,0.364,19,0.209,0.638,LAA,414000
Tony Campana,0.586,6,0.259,0.603,CHC,414000
Brian Roberts,0.241,19,0.221,0.604,BAL,10000000
Craig Gentry,0.395,13,0.271,0.693,TEX,416000
Brandon Allen,0.321,18,0.2,0.654,OAK,414000
Jason Giambi,0.395,32,0.26,0.958,COL,1000000
Dioner Navarro,0.398,17,0.193,0.6,LAD,1000000
Francisco Cervelli,0.265,22,0.266,0.719,NYY,455700
Jose Constanza,0.259,10,0.303,0.724,ATL,414000
Chris Stewart,0.414,10,0.204,0.592,SF,414000
Logan Forsythe,0.383,12,0.213,0.568,SD,414000
Scott Hairston,0.488,24,0.235,0.773,NYM,1100000
Elliot Johnson,0.432,17,0.194,0.595,TB,414900
Tyler Colvin,0.494,20,0.151,0.509,CHC,440000
Chase d'Arnaud,0.296,6,0.217,0.528,PIT,414000
Yonder Alonso,0.29,15,0.33,0.943,CIN,1000000
Carlos Corporan,0.321,11,0.188,0.506,HOU,414000
George Kottaras,0.303,17,0.252,0.771,MIL,440000
Emmanuel Burriss,0.364,4,0.204,0.465,SF,414000
Chris Parmelee,0.13,14,0.355,1.035,MIN,414000
Mike Trout,0.247,16,0.22,0.672,LAA,414000
Chris Marrero,0.193,10,0.248,0.567,WSH,414000
Adam LaRoche,0.267,15,0.172,0.546,WSH,7000000
Justin Ruggiano,0.284,13,0.248,0.673,TB,414000
Koyie Hill,0.284,9,0.194,0.545,CHC,850000
Dayan Viciedo,0.179,6,0.255,0.641,CHW,2250000
Todd Frazier,0.253,15,0.232,0.727,CIN,414000
Justin Sellers,0.224,13,0.203,0.583,LAD,414000
Charlie Blackmon,0.167,8,0.255,0.573,COL,414000
Juan Francisco,0.191,15,0.258,0.74,CIN,414000
Michael Saunders,0.358,8,0.149,0.424,SEA,420000
Julio Borbon,0.198,11,0.27,0.654,TEX,490000
Jayson Nix,0.284,16,0.169,0.554,TOR,438100
Brooks Conrad,0.568,13,0.223,0.713,ATL,427250
Tyler Flowers,0.235,16,0.209,0.719,CHW,414000
A.J. Ellis,0.193,11,0.271,0.769,LAD,421000
Gerald Laird,0.228,12,0.232,0.66,STL,1100000
Collin Cowgill,0.222,9,0.239,0.604,ARI,414000
J.B. Shuck,0.228,3,0.272,0.68,HOU,414000
Bobby Wilson,0.352,8,0.189,0.54,LAA,416000
Jesus Montero,0.111,12,0.328,0.996,NYY,414000
Ian Stewart,0.296,6,0.156,0.464,COL,2287500
Steven Pearce,0.309,10,0.202,0.515,PIT,427500
Daniel Hudson,0.204,14,0.277,0.678,ARI,419000
Anthony Rizzo,0.303,9,0.141,0.523,SD,149311
Andres Blanco,0.222,3,0.224,0.605,TEX,520000
Tony Cruz,0.235,6,0.262,0.672,STL,414000
Clayton Kershaw,0.205,4,0.225,0.492,LAD,500000
Cliff Lee,0.216,7,0.2,0.514,PHI,11050000
Yovani Gallardo,0.204,4,0.221,0.577,MIL,3500000
D.J. LeMahieu,0.228,4,0.25,0.546,CHC,414000
Eric Sogard,0.167,4,0.2,0.572,OAK,414000
Chris Dickerson,0.37,7,0.26,0.656,MIL,414000
Tommy Field,0.099,3,0.271,0.585,COL,414000
Joe Saunders,0.204,4,0.197,0.435,ARI,5500000
Robinson Chirinos,0.124,7,0.218,0.592,TB,414000
Chris Gimenez,0.148,6,0.203,0.585,SEA,414000
Zack Cozart,0.068,3,0.324,0.811,CIN,414000
Ryan Vogelsong,0.191,2,0.226,0.513,SF,414000
Homer Bailey,0.142,2,0.282,0.633,CIN,441000
Wandy Rodriguez,0.185,5,0.18,0.41,HOU,7500000
Cole Hamels,0.204,3,0.159,0.383,PHI,9550000
Kyle Lohse,0.216,3,0.175,0.394,STL,12187500
Mike Leake,0.235,2,0.2,0.451,CIN,425000
Dan Johnson,0.191,4,0.119,0.389,TB,1000000
Randy Wolf,0.204,0,0.164,0.391,MIL,9500000
Jhoulys Chacin,0.204,4,0.164,0.371,COL,419000
Danny Worth,0.185,3,0.27,0.632,DET,414000
Vance Worley,0.154,5,0.222,0.484,PHI,414000
Pedro Ciriaco,0.142,6,0.303,0.748,PIT,414000
Chad Billingsley,0.199,4,0.161,0.485,LAD,6275000
Matt Cain,0.216,6,0.136,0.368,SF,7333333
Shaun Marcum,0.204,6,0.153,0.456,MIL,3950000
Jordan Zimmermann,0.18,3,0.209,0.477,WSH,415000
Jarrod Dyson,0.161,3,0.205,0.535,KC,414000
Ryan Lavarnway,0.105,8,0.231,0.738,BOS,414000
Devin Mesoraco,0.111,6,0.18,0.586,CIN,414000
Tim Hudson,0.204,4,0.116,0.338,ATL,9000000
Jason Marquis,0.174,3,0.174,0.37,WSH,7500000
Ian Kennedy,0.21,4,0.131,0.377,ARI,423000
Edwin Jackson,0.198,2,0.267,0.548,STL,8750000
R.A. Dickey,0.204,2,0.136,0.286,NYM,2750000
Taylor Teagarden,0.086,2,0.235,0.572,TEX,416790
Tim Stauffer,0.198,6,0.148,0.309,SD,1075000
Chris Narveson,0.185,5,0.163,0.416,MIL,444150
Wade LeBlanc,0.086,1,0.364,0.755,SD,414000
Mike Baxter,0.136,4,0.235,0.791,SD,414100
Brandon Guyer,0.093,3,0.195,0.58,TB,414000
Alexi Amarista,0.142,5,0.154,0.432,LAA,414000
Hector Sanchez,0.08,1,0.258,0.646,SF,414000
Zack Greinke,0.179,1,0.143,0.396,MIL,13500000
Hiroki Kuroda,0.199,1,0.115,0.284,LAD,12500000
Jason Hammel,0.204,4,0.152,0.409,COL,3000000
J.A. Happ,0.179,4,0.163,0.473,HOU,474000
Chris Valaika,0.086,0,0.28,0.733,CIN,414000
Esmil Rogers,0.136,0,0.259,0.556,COL,417000
Bud Norris,0.191,5,0.132,0.315,HOU,437500
Cory Luebke,0.29,0,0.212,0.469,SD,415600
Madison Bumgarner,0.216,3,0.119,0.374,SF,450000
Bronson Arroyo,0.222,2,0.105,0.261,CIN,6500000
Mike Pelfrey,0.21,4,0.109,0.315,NYM,3925000
Zach Duke,0.13,6,0.3,0.933,ARI,3500000
Matt Garza,0.191,1,0.094,0.215,CHC,5950000
Adam Rosales,0.148,8,0.098,0.358,OAK,425000
Jaime Garcia,0.198,6,0.097,0.256,STL,437000
Chris Carter,0.093,0,0.136,0.31,OAK,414000
Ivan De Jesus Jr.,0.106,1,0.188,0.423,LAD,414000
Michael Taylor,0.068,1,0.2,0.614,OAK,414000
Steve Lombardozzi,0.081,1,0.194,0.445,WSH,414000
Josh Collmenter,0.191,1,0.15,0.359,ARI,414000
Jair Jurrjens,0.142,1,0.106,0.231,ATL,3250000
Aaron Harang,0.173,1,0.089,0.196,SD,3500000
Jorge De La Rosa,0.062,3,0.238,0.476,COL,10000000
Kyle Kendrick,0.216,0,0.208,0.478,PHI,2450000
Paul Maholm,0.161,1,0.109,0.272,PIT,6250000
Tim Lincecum,0.204,1,0.082,0.207,SF,14100000
John Lannan,0.205,5,0.088,0.274,WSH,2750000
Dillon Gee,0.185,4,0.109,0.269,NYM,414000
James McDonald,0.191,3,0.091,0.247,PIT,443000
Josh Satin,0.093,2,0.2,0.499,NYM,414000
Conor Gillaspie,0.093,2,0.263,0.754,SF,414000
Chris Capuano,0.222,0,0.071,0.179,NYM,1500000
Kevin Correia,0.167,3,0.087,0.237,PIT,4000000
Ramiro Pena,0.142,4,0.1,0.334,NYY,414000
Casey Coleman,0.13,0,0.16,0.44,CHC,414000
Charlie Morton,0.179,2,0.08,0.234,PIT,441000
Mat Latos,0.191,1,0.071,0.246,SD,460700
Jose Lobaton,0.093,0,0.118,0.378,TB,414000
Andrew Brown,0.068,3,0.182,0.409,STL,414000
Edinson Volquez,0.13,0,0.115,0.264,CIN,1625000
Ross Ohlendorf,0.056,4,0.214,0.643,PIT,2025000
Tom Gorzelanny,0.186,1,0.107,0.274,WSH,2100000
Clayton Richard,0.124,2,0.107,0.281,SD,468800
Johnny Cueto,0.148,0,0.064,0.166,CIN,3400000
Brandon Beachy,0.154,1,0.07,0.161,ATL,416500
Mike Minor,0.093,0,0.111,0.385,ATL,414000
Brandon Snyder,0.037,1,0.231,0.719,BAL,414000
Juan Nicasio,0.08,0,0.136,0.364,COL,414000
Jonathan Niese,0.179,0,0.061,0.234,NYM,452000
Austin Romine,0.056,0,0.158,0.358,NYY,414000
Anthony Recker,0.031,0,0.177,0.569,OAK,414000
Leonys Martin,0.049,0,0.375,0.875,TEX,1500000
Jordan Lyles,0.124,0,0.12,0.305,HOU,414000
Marco Estrada,0.265,0,0.25,0.583,MIL,414000
Pete Kozma,0.099,1,0.177,0.569,STL,414000
Rubby De La Rosa,0.081,0,0.214,0.481,LAD,313245
Scott Baker,0.142,0,0.4,1.0,MIN,5000000
Joe Blanton,0.068,2,0.182,0.364,PHI,10500000
Ross Detwiler,0.093,1,0.105,0.211,WSH,414000
Travis Wood,0.161,3,0.067,0.233,CIN,422500
Doug Fister,0.198,1,0.333,0.833,SEA,436500
Jose Iglesias,0.062,0,0.333,0.667,BOS,2062500
Eduardo Escobar,0.056,0,0.286,0.571,CHW,414000
Andrew Romine,0.062,0,0.125,0.301,LAA,414000
Erik Kratz,0.012,0,0.333,0.833,PHI,414000
Welington Castillo,0.025,0,0.154,0.308,CHC,414000
Tim Federowicz,0.044,1,0.154,0.466,LAD,414000
Tyler Chatwood,0.167,0,0.667,1.333,LAA,414000
Dan Haren,0.216,1,0.333,0.667,LAA,12750000
Jeremy Guthrie,0.216,0,0.2,0.6,BAL,5750000
Mark Buehrle,0.191,0,0.5,1.5,CHW,14025000
Matt Belisle,0.457,0,0.5,1.5,COL,2350000
John Lackey,0.173,1,0.333,1.0,BOS,15950000
Francisco Rodriguez,0.451,0,0.5,1.0,MIL,12166667
Ervin Santana,0.204,0,0.5,1.0,LAA,8000000
Chien-Ming Wang,0.068,1,0.053,0.153,WSH,1000000
Erik Bedard,0.148,0,0.2,0.4,BAL,1000000
Felix Hernandez,0.204,0,0.143,0.286,SEA,11950000
C.J. Wilson,0.21,0,0.25,1.0,TEX,7150000
Rick Porcello,0.191,0,0.167,0.333,DET,1536000
Francisco Liriano,0.161,1,0.5,1.167,MIN,4300000
Sean Burnett,0.429,0,1.0,2.0,WSH,1400000
Everth Cabrera,0.012,0,0.125,0.347,SD,414000
Colby Lewis,0.198,0,0.125,0.375,TEX,3000000
Brandon Hicks,0.105,1,0.048,0.139,ATL,414000
Jake Arrieta,0.136,1,0.25,0.5,BAL,419000
James Russell,0.395,0,0.125,0.25,CHC,427500
Sam LeCure,0.265,0,0.111,0.422,CIN,414000
Brad Lincoln,0.08,1,0.083,0.321,PIT,414500
Adam Moore,0.012,0,0.167,0.5,SEA,417500
Wade Davis,0.185,0,0.5,1.0,TB,1000000
Craig Stammen,0.044,0,0.5,1.0,WSH,414000
Alexi Ogando,0.191,0,0.5,1.0,TEX,430150
Michael Pineda,0.173,0,0.2,0.4,SEA,414000
Cedric Hunter,0.037,0,0.25,0.65,SD,414000
Pedro Florimon,0.025,2,0.125,0.472,BAL,414000
Tom Milone,0.031,3,0.167,0.833,WSH,414000
Jarrod Parker,0.006,0,0.5,1.5,OAK,414000
Steve Clevenger,0.012,0,0.25,0.9,CHC,414000
Logan Schafer,0.049,0,0.333,0.833,MIL,414000
Drew Pomeranz,0.025,0,0.2,0.4,COL,414000
Matt Carpenter,0.043,0,0.067,0.396,STL,414000
Nathan Eovaldi,0.062,0,0.091,0.258,LAD,414000
Wade Miley,0.049,1,0.077,0.277,ARI,414000
Eric Surkamp,0.037,1,0.125,0.347,SF,414000
Josh Beckett,0.185,0,0.0,0.0,BOS,17000000
Jon Lester,0.191,0,0.0,0.0,BOS,5800000
Javier Lopez,0.432,0,0.0,0.0,SF,2375000
Brandon Moss,0.031,0,0.0,0.0,PHI,414500
John Danks,0.167,0,0.0,0.0,CHW,6000000
Gavin Floyd,0.191,0,0.0,0.25,CHW,5000000
Jeremy Affeldt,0.414,0,0.0,0.5,SF,4500000
Jeff Francis,0.191,0,0.0,0.0,KC,2000000
