Jugador,Porcetnaje_juegos_2013,RBI_2013,Porcentaje_bateo_2013,OPS_2013,Equipo_2013,Sueldo_2013,Agente libre
Dioner Navarro,0.549,34,0.3,0.856,CHC,1750000,Si
Luis Valbuena,0.667,37,0.218,0.707,CHC,930000,No
Matt Kemp,0.451,33,0.27,0.723,LAD,20250000,No
Endy Chavez,0.593,14,0.268,0.619,SEA,490000,Si
Logan Morrison,0.525,36,0.242,0.709,MIA,491500,No
Lucas Duda,0.617,33,0.223,0.767,NYM,519240,No
Omar Quintanilla,0.586,21,0.222,0.589,NYM,490000,No
Craig Gentry,0.65,22,0.281,0.759,TEX,501000,No
Jose Lobaton,0.614,32,0.249,0.714,TB,496500,No
Avisail Garcia,0.444,31,0.283,0.731,CHW,490000,No
Robbie Grossman,0.389,21,0.269,0.702,HOU,490000,No
Scooter Gennett,0.426,21,0.324,0.834,MIL,490000,No
Brayan Pena,0.438,22,0.297,0.713,DET,875000,Si
Kyle Blanks,0.543,35,0.243,0.684,SD,605000,No
Chris Young,0.654,40,0.2,0.657,OAK,8700000,Si
Ryan Braun,0.377,38,0.298,0.869,MIL,9500000,No
Gaby Sanchez,0.84,36,0.254,0.762,PIT,1750000,No
Chris Parmelee,0.624,24,0.228,0.663,MIN,497500,No
Josh Rutledge,0.543,19,0.235,0.63,COL,490000,No
Jurickson Profar,0.522,26,0.234,0.644,TEX,491000,No
Junior Lake,0.395,16,0.284,0.76,CHC,490000,No
Brian Roberts,0.475,39,0.25,0.707,BAL,10000000,No
Jose Molina,0.607,18,0.233,0.594,TB,1800000,No
Kurt Suzuki,0.58,32,0.232,0.627,OAK,6487500,No
Mike Morse,0.543,26,0.213,0.64,BAL,6750000,No
Cliff Pennington,0.593,18,0.242,0.618,ARI,1750000,No
Ike Davis,0.636,33,0.205,0.661,NYM,3125000,No
Derek Norris,0.599,30,0.246,0.752,OAK,492500,No
Jesus Guzman,0.778,35,0.226,0.675,SD,503200,No
Ronny Cedeno,0.549,21,0.242,0.617,SD,490000,Si
Clint Barmes,0.667,23,0.211,0.558,PIT,5500000,No
Eric Chavez,0.494,44,0.281,0.81,ARI,3000000,Si
Mike Carp,0.531,43,0.296,0.885,BOS,508500,No
Jayson Nix,0.537,24,0.236,0.619,NYY,900000,No
Brendan Ryan,0.642,22,0.198,0.529,NYY,3250000,No
Logan Schafer,0.827,33,0.211,0.601,MIL,490000,No
Adam Eaton,0.407,22,0.252,0.674,ARI,491000,No
Chris Stewart,0.673,25,0.211,0.566,NYY,515100,No
Darin Ruf,0.451,30,0.247,0.806,PHI,490000,No
Joaquin Arias,0.63,19,0.271,0.627,SF,925000,No
Kevin Frandsen,0.735,26,0.234,0.637,PHI,850000,No
Justin Maxwell,0.463,25,0.252,0.764,KC,492500,No
Jordan Pacheco,0.586,22,0.239,0.588,COL,491000,No
Carlos Pena,0.549,25,0.207,0.668,KC,490000,Si
Wil Nieves,0.438,22,0.297,0.69,ARI,800000,Si
Brett Wallace,0.488,36,0.221,0.716,HOU,495000,No
Jordan Schafer,0.58,21,0.247,0.677,ATL,512500,No
Hank Conger,0.562,21,0.246,0.708,LAA,495000,No
Jonathan Herrera,0.5,16,0.292,0.701,COL,900000,No
Travis Snider,0.685,25,0.215,0.614,PIT,505000,No
John Jaso,0.432,21,0.271,0.759,OAK,1800000,No
Justin Turner,0.531,16,0.28,0.704,NYM,504547,No
Jeff Bianchi,0.617,25,0.237,0.564,MIL,490000,No
Jarrod Dyson,0.537,17,0.258,0.692,KC,506000,No
Munenori Kawasaki,0.593,24,0.229,0.634,TOR,490000,No
Kole Calhoun,0.358,32,0.282,0.808,LAA,491000,No
Greg Dobbs,0.704,22,0.228,0.603,MIA,1600000,No
Aaron Hicks,0.5,27,0.192,0.597,MIN,490000,No
Elliot Johnson,0.685,19,0.209,0.538,ATL,520500,No
Chris Heisey,0.537,23,0.237,0.694,CIN,1325000,No
Josh Satin,0.463,17,0.279,0.781,NYM,490000,No
Ryan Flaherty,0.519,27,0.218,0.668,BAL,493500,No
Nate Freiman,0.494,24,0.274,0.716,OAK,490000,No
Ryan Sweeney,0.432,19,0.266,0.772,CHC,490000,No
Xavier Paul,0.599,32,0.244,0.741,CIN,505000,No
Alex Presley,0.352,15,0.276,0.686,MIN,490000,No
Corey Dickerson,0.426,17,0.263,0.775,COL,490000,No
Jonathan Villar,0.358,8,0.243,0.64,HOU,490000,No
Chris Coghlan,0.432,10,0.256,0.672,MIA,503500,No
Tyler Flowers,0.519,24,0.195,0.603,CHW,510000,No
Curtis Granderson,0.377,15,0.229,0.723,NYY,15000000,No
Danny Valencia,0.321,23,0.304,0.888,BAL,490000,No
Chris Nelson,0.395,24,0.228,0.6,LAA,491000,No
Peter Bourjos,0.34,12,0.274,0.71,LAA,512500,No
Don Kelly,0.691,23,0.222,0.652,DET,900000,Si
Sean Rodriguez,0.589,23,0.246,0.704,TB,1000000,No
Freddy Galvis,0.432,19,0.234,0.668,PHI,490000,No
L.J. Hoes,0.29,10,0.282,0.696,HOU,490000,No
Logan Forsythe,0.463,19,0.214,0.613,SD,499000,No
Rob Brantly,0.414,18,0.211,0.528,MIA,490000,No
Ramon Santiago,0.494,14,0.224,0.586,DET,2100000,No
Chris Getz,0.482,18,0.22,0.561,KC,1050000,No
Marwin Gonzalez,0.444,14,0.221,0.571,HOU,494400,No
Ryan Hanigan,0.463,21,0.198,0.567,CIN,2150000,No
Willie Bloomquist,0.296,14,0.317,0.727,ARI,1900000,No
Jeff Baker,0.454,21,0.279,0.905,TEX,1750000,Si
Carlos Corporan,0.395,20,0.225,0.648,HOU,495000,No
Jeff Mathis,0.451,29,0.181,0.535,MIA,1500000,No
Ruben Tejada,0.352,10,0.202,0.519,NYM,514701,No
Erik Kratz,0.42,26,0.213,0.666,PHI,496000,No
Josh Phegley,0.401,22,0.206,0.522,CHW,490000,No
Roger Bernadina,0.691,11,0.181,0.545,PHI,490000,No
Geovany Soto,0.331,22,0.245,0.794,TEX,2750000,Si
Ryan Roberts,0.368,17,0.247,0.671,TB,2950000,No
Matt Tuiasosopo,0.5,30,0.244,0.765,DET,525000,No
Brian Bogusevic,0.29,16,0.273,0.784,CHC,490000,Si
Eduardo Escobar,0.407,10,0.236,0.628,MIN,495000,No
Alex Rodriguez,0.272,19,0.244,0.771,NYY,29000000,No
Donnie Murphy,0.284,23,0.255,0.849,CHC,490000,No
Anthony Gose,0.321,12,0.259,0.691,TOR,490000,No
Khris Davis,0.346,27,0.279,0.949,MIL,490000,No
Cody Asche,0.309,22,0.235,0.691,PHI,490000,No
Tony Abreu,0.327,14,0.268,0.743,SF,498000,No
Tyler Moore,0.389,21,0.222,0.607,WSH,493000,No
Jordan Danks,0.488,12,0.231,0.682,CHW,490000,No
Mike Zunino,0.321,14,0.214,0.62,SEA,490000,No
Franklin Gutierrez,0.253,24,0.248,0.777,SEA,7312500,No
Shane Robinson,0.611,16,0.25,0.664,STL,498000,No
Tim Federowicz,0.346,16,0.225,0.619,LAD,491000,No
Sam Fuld,0.73,17,0.199,0.537,TB,725000,No
Cesar Hernandez,0.21,10,0.289,0.674,PHI,490000,No
Grant Green,0.278,17,0.25,0.644,LAA,490000,No
Gerald Laird,0.29,13,0.281,0.739,ATL,1500000,Si
Stephen Vogt,0.29,16,0.252,0.695,OAK,490000,No
Collin Cowgill,0.451,16,0.211,0.594,LAA,493520,No
Hector Sanchez,0.389,19,0.248,0.649,SF,502500,No
Caleb Gindl,0.352,14,0.242,0.779,MIL,490000,No
Chris Herrmann,0.352,18,0.204,0.611,MIN,490000,No
Humberto Quintero,0.284,13,0.237,0.642,PHI,900000,No
Ryan Ludwick,0.235,12,0.24,0.618,CIN,2000000,Si
Steven Pearce,0.272,13,0.261,0.782,BAL,700000,No
Martin Maldonado,0.414,22,0.169,0.52,MIL,494000,No
Scott Van Slyke,0.327,19,0.24,0.807,LAD,490000,No
Moises Sierra,0.216,13,0.29,0.827,TOR,490000,No
Chris Colabello,0.34,17,0.194,0.631,MIN,490000,No
Jack Hannahan,0.512,14,0.216,0.605,CIN,1000000,Si
Scott Hairston,0.525,26,0.191,0.651,WSH,2500000,Si
Reed Johnson,0.457,11,0.244,0.653,ATL,1600000,Si
Ryan Goins,0.21,8,0.252,0.609,TOR,490000,No
Anthony Recker,0.309,19,0.215,0.68,NYM,490840,No
Jake Elmore,0.321,6,0.242,0.638,HOU,490000,No
Charlie Culberson,0.29,12,0.293,0.721,COL,490000,No
Daric Barton,0.228,16,0.269,0.725,OAK,1100000,No
Adam Rosales,0.417,12,0.191,0.586,TEX,700000,No
Pedro Ciriaco,0.346,8,0.224,0.615,KC,502500,No
Austin Romine,0.37,10,0.207,0.551,NYY,490000,No
Andrew Romine,0.29,10,0.259,0.595,LAA,492500,No
Marc Krauss,0.321,13,0.209,0.633,HOU,490000,No
Ramiro Pena,0.309,12,0.278,0.773,ATL,550000,No
Luis Jimenez,0.21,5,0.26,0.608,LAA,490000,No
Josmil Pinto,0.13,12,0.342,0.963,MIN,490000,No
Nolan Reimold,0.247,12,0.195,0.586,BAL,1000000,No
Michael McKenry,0.253,14,0.219,0.615,PIT,505000,No
Danny Espinosa,0.272,12,0.158,0.465,WSH,526250,No
Mike Baxter,0.457,4,0.189,0.553,NYM,500318,No
Tony Cruz,0.315,13,0.203,0.533,STL,503000,No
Zoilo Almonte,0.21,9,0.236,0.576,NYY,490000,No
Chris Dickerson,0.346,11,0.235,0.666,BAL,490000,No
Alexi Casilla,0.383,10,0.214,0.563,BAL,1700000,No
Jimmy Paredes,0.296,10,0.192,0.479,HOU,490000,No
Ryan Lavarnway,0.154,14,0.299,0.758,BOS,495000,No
Nick Noonan,0.383,5,0.219,0.499,SF,490000,No
Juan Perez,0.21,8,0.258,0.65,SF,490000,No
David Ross,0.222,10,0.216,0.681,BOS,3100000,Si
Josh Harrison,0.37,14,0.25,0.699,PIT,503000,No
Dee Gordon,0.235,6,0.234,0.612,LAD,501000,No
Josh Thole,0.278,8,0.175,0.497,TOR,1250000,No
Jesus Montero,0.179,9,0.208,0.59,SEA,503300,No
Kevin Pillar,0.222,13,0.206,0.583,TOR,490000,No
Wilmer Flores,0.167,13,0.211,0.542,NYM,490000,No
Travis d'Arnaud,0.191,5,0.202,0.548,NYM,490000,No
Leury Garcia,0.276,2,0.198,0.475,CHW,490000,No
Jake Marisnick,0.247,5,0.184,0.478,MIA,490000,No
Tommy Medica,0.117,11,0.26,0.747,SD,490000,No
Zack Greinke,0.179,4,0.328,0.788,LAD,19000000,Si
Yasmani Grandal,0.173,9,0.216,0.693,SD,1237500,No
Abraham Almonte,0.154,9,0.264,0.715,SEA,490000,No
George Kottaras,0.284,12,0.18,0.719,KC,1000000,No
Jackie Bradley Jr.,0.228,10,0.19,0.617,BOS,490000,No
Matt Davidson,0.191,12,0.237,0.768,ARI,490000,No
Marcus Semien,0.13,7,0.261,0.673,CHW,490000,No
Reid Brignac,0.284,6,0.185,0.48,COL,499000,No
Roger Kieschnick,0.235,5,0.202,0.521,SF,490000,No
Joey Terdoslavich,0.34,4,0.215,0.581,ATL,490000,No
Rene Rivera,0.142,7,0.254,0.596,SD,490000,No
Guillermo Quiroz,0.265,6,0.186,0.539,SF,575000,No
Henry Urrutia,0.148,2,0.276,0.586,BAL,490000,No
Chris Owings,0.124,5,0.291,0.742,ARI,490000,No
Miguel Olivo,0.204,9,0.203,0.642,MIA,800000,Si
Adam Wainwright,0.216,6,0.211,0.476,STL,12150000,No
Robert Andino,0.173,4,0.184,0.49,PIT,1600000,Si
Clayton Kershaw,0.216,10,0.182,0.501,LAD,11250000,No
Francisco Cervelli,0.105,8,0.269,0.877,NYY,515350,No
Chris Valaika,0.136,9,0.219,0.605,MIA,495000,No
Travis Wood,0.228,8,0.222,0.639,CHC,527500,No
Tony Sanchez,0.136,5,0.233,0.688,PIT,490000,No
Andrew Cashner,0.21,3,0.245,0.58,SD,500800,No
Julio Teheran,0.185,2,0.224,0.526,ATL,490000,No
Hernan Perez,0.21,5,0.197,0.445,DET,490000,No
Yovani Gallardo,0.204,4,0.211,0.561,MIL,8000000,No
Derek Jeter,0.105,7,0.191,0.542,NYY,17000000,No
Josh Wilson,0.185,4,0.2,0.562,ARI,650000,No
Mike Leake,0.191,2,0.191,0.469,CIN,3060000,No
Jhoulys Chacin,0.198,7,0.191,0.475,COL,1650000,No
Darin Mastroianni,0.185,5,0.185,0.444,MIN,500000,No
Tyler Chatwood,0.161,7,0.3,0.658,COL,490000,No
Brock Holt,0.161,11,0.203,0.513,BOS,490000,No
Hyun-Jin Ryu,0.185,5,0.207,0.526,LAD,3408333,No
Doug Bernier,0.204,5,0.226,0.622,TEX,490000,No
Matt den Dekker,0.167,6,0.207,0.546,NYM,490000,No
