Acronimo,Acronimo_t_1,Acronimo_t_2,Altura,Altura_t_1,Altura_t_2,Anio_t_1,Anio_t_2,Anio_x,Anio_y,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Bateos_pitcher_2_t_1,Bateos_pitcher_2_t_2,Bateos_pitcher_t_1,Bateos_pitcher_t_2,Cantidad_agentes_libres,Cantidad_agentes_libres_t_1,Cantidad_agentes_libres_t_2,Carreras,Carreras_2,Carreras_2_t_1,Carreras_2_t_2,Carreras_ganadas,Carreras_ganadas_2,Carreras_ganadas_2_t_1,Carreras_ganadas_2_t_2,Carreras_ganadas_t_1,Carreras_ganadas_t_2,Carreras_t_1,Carreras_t_2,Comando,Comando_2,Comando_2_t_1,Comando_2_t_2,Comando_t_1,Comando_t_2,Control,Control_2,Control_2_t_1,Control_2_t_2,Control_t_1,Control_t_2,Dominio,Dominio_2,Dominio_2_t_1,Dominio_2_t_2,Dominio_t_1,Dominio_t_2,ERA,ERA_2,ERA_2_t_1,ERA_2_t_2,ERA_t_1,ERA_t_2,Edad,Edad_t_1,Edad_t_2,Equipo,Equipo_anterior,Equipo_t_1,Equipo_t_2,Inning_pitched,Inning_pitched_2,Inning_pitched_2_t_1,Inning_pitched_2_t_2,Inning_pitched_t_1,Inning_pitched_t_2,Juegos,Juegos_2,Juegos_2_t_1,Juegos_2_t_2,Juegos_iniciados,Juegos_iniciados_2,Juegos_iniciados_2_t_1,Juegos_iniciados_2_t_2,Juegos_iniciados_t_1,Juegos_iniciados_t_2,Juegos_t_1,Juegos_t_2,Juegos_totales,Juegos_totales_t_1,Juegos_totales_t_2,Jugador,Losses,Losses_2,Losses_2_t_1,Losses_2_t_2,Losses_t_1,Losses_t_2,Pennants_won,Pennants_won_t_1,Pennants_won_t_2,Peso,Peso_t_1,Peso_t_2,Playoffs,Playoffs_t_1,Playoffs_t_2,Posicion,Posicion_t_1,Posicion_t_2,Promedio_victorias,Promedio_victorias_t_1,Promedio_victorias_t_2,Saves,Saves_2,Saves_2_t_1,Saves_2_t_2,Saves_t_1,Saves_t_2,Status,Strike_outs,Strike_outs_2,Strike_outs_2_t_1,Strike_outs_2_t_2,Strike_outs_t_1,Strike_outs_t_2,Sueldo,Sueldo_base,Sueldo_base_t_1,Sueldo_base_t_2,Sueldo_regular,Sueldo_regular_t_1,Sueldo_regular_t_2,Sueldo_t_1,Sueldo_t_2,TVS,TVS_2,TVS_2_t_1,TVS_2_t_2,TVS_t_1,TVS_t_2,Valor_contrato,Valor_contrato_total,Valor_contrato_total_t_1,Valor_contrato_total_t_2,Valor_promedio_contrato,Victorias,Victorias_t_1,Victorias_t_2,WAR,WAR_2,WAR_2_t_1,WAR_2_t_2,WAR_t_1,WAR_t_2,WHIP,WHIP_2,WHIP_2_t_1,WHIP_2_t_2,WHIP_t_1,WHIP_t_2,WS_ganadas,WS_ganadas_t_1,WS_ganadas_t_2,Walks,Walks_2,Walks_2_t_1,Walks_2_t_2,Walks_t_1,Walks_t_2,Wins,Wins_2,Wins_2_t_1,Wins_2_t_2,Wins_t_1,Wins_t_2,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
OAK,LAD,LAD,6.5,6.5,6.5,10,11,2021,9,2,58,3364,529,4761,23,69,6,4,7,33,1089,225,1225,32,1024,121,729,11,27,15,35,1.5945945945945945,2.5427319211102994,7.5625,10.51331496786042,2.75,3.242424242424242,0.07003596441415862,0.004905036311421292,0.001196268613892903,0.0013998796797630617,0.03458711629917856,0.03741496598639456,0.1116789702820367,0.012472192403256036,0.00904678139256508,0.014717375990456652,0.09511456982274104,0.12131519274376418,4.91,24.1081,14.8996,34.2225,3.86,5.85,31,32,33,Oakland Athletics,LAD,Los Angeles Dodgers,Los Angeles Dodgers,58.7,3445.6900000000005,660.49,9604.0,25.7,98.0,57,3249,729,9801,0,0,0,0,0,0,27,99,162,59,162,Blake Treinen,5,25,9,64,3,8,15,25,25,225,225,225,28,34,35,RP/CL,RP/CL,RP/CL,0.5987654320987654,0.711864406779661,0.654320987654321,16,256,1,64,1,8,UFA,59,3481,484,11449,22,107,6400000,6400000,10000000,6000000,6400000,3703704,8000000,10000000,8000000,18.89,356.8321,838.6816,11178.832900000001,28.96,105.73,17500000,37600000,15813500,160320500,8750000,97,42,106,-0.34,0.11560000000000002,0.0576,4.4521,-0.24,2.11,1.62,2.6244000000000005,1.4641,4.7961,1.21,2.19,9,7,7,37,1369,64,1089,8,33,6,36,9,81,3,9,15.671808548329901,15.671808548329901,15.671808548329901
OAK,MIL,MIL,6.4,6.4,6.4,10,11,2021,9,1,181,32761,2500,23104,50,152,6,9,4,80,6400,576,5776,76,5776,484,4489,22,67,24,76,1.836734693877551,3.3735943356934612,10.240000000000002,5.609418282548476,3.2,2.3684210526315788,0.030934343434343436,0.0009569336037139069,0.0005588808968920633,0.0008717864195719675,0.02364066193853428,0.029526029526029528,0.056818181818181816,0.0032283057851239666,0.005722940384174729,0.0048902146804244715,0.07565011820330969,0.06993006993006994,3.89,15.132100000000001,17.7241,71.0649,4.21,8.43,31,32,33,Oakland Athletics,MIL,Milwaukee Brewers,Milwaukee Brewers,176.0,30976.0,2209.0,20449.0,47.0,143.0,32,1024,100,1156,31,961,100,1156,10,34,10,34,162,60,162,Brett Anderson,9,81,16,169,4,13,15,1,1,230,230,230,28,7,8,SP,SP,SP,0.5987654320987654,0.4833333333333333,0.5864197530864198,0,0,0,0,0,0,UFA,90,8100,1024,8100,32,90,1500000,1500000,5000000,2500000,1500000,1999852,2500000,5148000,2500000,78.02,6087.1204,3183.2164000000002,7823.4025,56.42,88.45,2500000,37600000,49875000,45400000,2500000,97,29,95,2.52,6.3504000000000005,0.3364,0.4760999999999999,0.58,0.69,1.31,1.7161000000000002,1.6384,6.916899999999999,1.28,2.63,9,0,0,49,2401,100,1444,10,38,13,169,16,64,4,8,14.22097566607244,14.22097566607244,14.22097566607244
CHW,CHW,CHW,6.3,6.3,6.3,10,11,2021,9,1,33,1089,81,10000,9,100,3,5,2,22,484,49,2116,20,400,49,1764,7,42,7,46,2.7058823529411766,7.321799307958479,4.0,23.984878369493757,2.0,4.897435897435898,0.05443483829650977,0.0029631516203671663,0.0018740278480538226,0.0009539571185550247,0.043290043290043295,0.030886196246139225,0.14729426833173231,0.021695601483380362,0.00749611139221529,0.022880545458255,0.08658008658008659,0.1512631662310921,5.19,26.936100000000003,67.56840000000001,112.1481,8.22,10.59,26,27,28,Chicago White Sox,CHW,Chicago White Sox,Chicago White Sox,34.7,1204.0900000000001,59.290000000000006,19684.090000000004,7.7,140.3,7,49,16,784,7,49,4,676,2,26,4,28,161,60,162,Carlos Rodon,2,4,4,49,2,7,6,6,6,245,245,245,9,10,11,SP,SP,SP,0.4472049689440994,0.5833333333333334,0.5740740740740741,0,0,0,0,0,0,UFA,46,2116,36,36481,6,191,4200000,4200000,4450000,3000000,4200000,1648148,3000000,4450000,3000000,0.0,0.0,0.0,9615.7636,0.0,98.06,3000000,24500000,151500000,57000000,3000000,72,35,93,0.07,0.004900000000000001,0.12249999999999998,22.1841,-0.35,4.71,1.44,2.0736,2.4649,6.3504000000000005,1.57,2.52,3,3,3,17,289,9,1521,3,39,3,9,0,169,0,13,15.250595083253597,15.250595083253597,15.250595083253597
HOU,HOU,ARI,6.3,6.3,6.3,10,11,2021,9,1,69,4761,49,324,7,18,3,3,5,39,1521,36,169,37,1369,36,169,6,13,6,13,3.4285714285714284,11.755102040816325,2.777777777777778,4.0,1.6666666666666667,2.0,0.033816425120772944,0.0011435506079488435,0.008116224332440546,0.002550760126517702,0.09009009009009007,0.050505050505050504,0.11594202898550725,0.013442554085276203,0.022545067590112627,0.010203040506070809,0.15015015015015012,0.10101010101010101,4.83,23.3289,216.9729,543.8224,14.73,23.32,28,29,29,Houston Astros,HOU,Houston Astros,Arizona Diamondbacks,69.0,4761.0,13.690000000000001,121.0,3.7,11.0,61,3721,16,144,1,1,0,0,0,0,4,12,161,60,163,Chris Devenski,3,9,1,1,1,1,3,3,1,210,210,210,13,14,6,RP,RP,RP,0.6583850931677019,0.4833333333333333,0.3251533742331288,0,0,0,1,0,1,UFA,72,5184,25,100,5,10,1525000,1525000,2000000,1000000,1525000,740741,1000000,2000000,1000000,19.92,396.80640000000005,0.0,0.0,0.0,0.0,1000000,42250000,15650000,8500000,1000000,106,29,53,0.04,0.0016,0.1296,0.4760999999999999,-0.36,-0.69,1.3,1.6900000000000002,7.4529,20.25,2.73,4.5,1,1,1,21,441,9,25,3,5,2,4,0,1,0,1,14.237504968023648,14.237504968023648,14.237504968023648
CHC,ATL,LAD,6.4,6.4,6.4,10,11,2021,9,1,141,19881,9,9,3,3,5,7,7,64,4096,9,9,60,3600,9,9,3,3,3,3,2.5535714285714284,6.520727040816325,4.0,4.0,2.0,2.0,0.043911236571787034,0.0019281966972634471,0.001133671167341201,0.001133671167341201,0.03367003367003367,0.03367003367003367,0.11213047910295618,0.012573244343858491,0.004534684669364804,0.004534684669364804,0.06734006734006734,0.06734006734006734,3.81,14.5161,65.61,65.61,8.1,8.1,35,36,36,Chicago Cubs,ATL,Atlanta Braves,Los Angeles Dodgers,141.7,20078.889999999996,10.889999999999999,10.889999999999999,3.3,3.3,27,729,1,1,27,729,1,1,1,1,1,1,162,60,162,Cole Hamels,7,49,1,1,1,1,17,18,25,205,205,205,20,26,35,SP,SP,SP,0.5185185185185185,0.5833333333333334,0.654320987654321,0,0,0,0,0,0,UFA,143,20449,4,4,2,2,20000000,20000000,18000000,1000000,20000000,6666667,1000000,18000000,1000000,36.19,1309.7160999999999,0.0,0.0,0.0,0.0,1000000,49325000,95750000,160320500,1000000,84,35,106,3.01,9.060099999999998,0.0081,0.0081,-0.09,-0.09,1.39,1.9320999999999997,1.44,1.44,1.2,1.2,3,3,7,56,3136,1,1,1,1,7,49,0,0,0,0,16.811242831518264,16.811242831518264,16.811242831518264
TEX,TEX,NYY,6.4,6.4,6.4,10,11,2021,9,1,44,1936,0,5476,0,74,6,4,4,26,676,0,1369,23,529,0,1156,0,34,0,37,2.533333333333333,6.417777777777777,1.0,5.959342560553634,1.0,2.4411764705882355,0.04668534080298786,0.0021795210458911236,0.012345679012345678,0.0021752179451717123,0.1111111111111111,0.04663923182441701,0.11826953003423592,0.013987681734519032,0.012345679012345678,0.012962868879141807,0.1111111111111111,0.11385459533607682,5.8,33.64,0.0,14.6689,0.0,3.83,33,34,35,Texas Rangers,TEX,Texas Rangers,New York Yankees,35.7,1274.4900000000002,1.0,6561.0,1.0,81.0,7,49,1,289,7,49,1,289,1,17,1,17,162,59,162,Corey Kluber,3,9,0,9,0,3,2,2,40,215,215,215,8,8,57,SP,SP,SP,0.4814814814814814,0.3728813559322034,0.5679012345679012,0,0,0,0,0,0,UFA,38,1444,1,6889,1,83,17700000,17000000,17500000,11000000,17700000,6481481,11000000,17500000,11000000,0.0,0.0,0.0,0.0,0.0,0.0,11000000,47250000,55750000,111300000,11000000,78,22,92,-0.36,0.1296,0.0025000000000000005,2.1609,0.05,1.47,1.65,2.7224999999999997,1.0,5.475599999999999,1.0,2.34,0,0,27,15,225,1,1156,1,34,2,4,0,25,0,5,16.689075197544057,16.64872390202049,16.689075197544057
CHC,CHC,CHW,6.0,6.0,6.0,10,11,2019,9,3,21,441,100,1681,10,41,5,4,2,15,225,81,784,15,225,81,576,9,24,9,28,2.5,6.25,5.4444444444444455,13.37469387755102,2.3333333333333335,3.657142857142857,0.06441223832528181,0.004148936446072903,0.007594419999905068,0.0026886145404663923,0.08714596949891067,0.05185185185185185,0.16103059581320453,0.025930852787955646,0.04134739777726093,0.03595939643347051,0.20334059549745823,0.18962962962962962,6.53,42.6409,27.878400000000003,56.8516,5.28,7.54,31,32,33,Chicago Cubs,BOS,Chicago Cubs,Chicago White Sox,20.7,428.48999999999995,234.09000000000003,5625.0,15.3,75.0,23,529,324,6561,0,0,0,0,0,0,18,81,162,58,162,Craig Kimbrel,4,16,1,36,1,6,17,17,6,215,215,215,20,21,11,RP/CL,RP/CL,RP/CL,0.5185185185185185,0.5517241379310345,0.5740740740740741,13,169,4,676,2,26,UFA,30,900,784,16384,28,128,10000000,10000000,16000000,16000000,10000000,5925926,5591430,16000000,16000000,0.0,0.0,0.2304,4149.9364000000005,0.48,64.42,43000000,49325000,2650000,57000000,14333333,84,32,93,-0.51,0.2601,0.019600000000000003,5.569599999999999,-0.14,2.36,1.6,2.5600000000000005,2.0448999999999997,5.475599999999999,1.43,2.34,3,3,3,12,144,144,1225,12,35,0,0,0,16,0,4,16.11809565095832,16.11809565095832,16.11809565095832
SD,SD,SD,6.2,6.2,6.2,10,11,2020,9,2,80,6400,729,11236,27,106,4,2,4,36,1296,256,2209,30,900,225,2025,15,45,16,47,4.866666666666666,23.68444444444444,25.0,36.70934256055363,5.0,6.0588235294117645,0.02032520325203252,0.0004131138872364333,0.0003429355281207133,0.0002829132653810912,0.018518518518518517,0.016820025724745228,0.0989159891598916,0.009784372911479792,0.008573388203017831,0.010385559973799295,0.09259259259259259,0.10190956762639755,3.29,10.8241,31.6969,75.5161,5.63,8.69,35,36,37,San Diego Padres,SD,San Diego Padres,San Diego Padres,82.0,6724.0,576.0,12611.289999999999,24.0,112.3,76,5776,576,8281,0,0,0,16,0,4,24,91,162,61,162,Craig Stammen,7,49,4,25,2,5,2,2,2,228,228,228,5,6,6,RP,RP,RP,0.4320987654320987,0.6229508196721312,0.4876543209876543,4,16,0,1,0,1,UFA,73,5329,400,10609,20,103,2250000,2250000,4000000,4000000,2250000,1666481,4500000,4185000,4500000,59.22,3507.0083999999997,566.9160999999999,7466.688099999999,23.81,86.41,9000000,326000000,43000000,25200000,4500000,70,38,79,0.84,0.7055999999999999,0.0729,1.4641,-0.27,1.21,1.16,1.3456,1.6641000000000001,5.4289000000000005,1.29,2.33,0,0,0,15,225,16,289,4,17,8,64,16,100,4,10,14.626440774180603,14.626440774180603,14.626440774180603
ATL,CHW,CHW,6.2,6.2,6.2,10,11,2020,9,3,115,13225,2704,58081,52,241,6,5,2,50,2500,225,14400,47,2209,196,11881,14,109,15,120,2.3333333333333335,5.4444444444444455,6.103806228373703,3.249480609418282,2.4705882352941178,1.8026315789473684,0.03845016267376516,0.0014784150096390034,0.0008904415231184041,0.001404817091051427,0.029840266807091457,0.03748088967796025,0.08971704623878536,0.00804914838581235,0.005435082514812682,0.00456492589715101,0.07372301211163772,0.0675642353405336,3.75,14.0625,3.9601,52.85289999999999,1.99,7.27,31,32,33,Atlanta Braves,ATL,Chicago White Sox,Chicago White Sox,112.7,12701.29,4006.8899999999994,50760.090000000004,63.3,225.3,19,361,121,1849,19,361,121,1681,11,41,11,43,161,60,162,Dallas Keuchel,8,64,4,121,2,11,18,6,6,205,205,205,25,10,11,SP,SP,SP,0.6024844720496895,0.5833333333333334,0.5740740740740741,0,0,0,0,0,0,UFA,91,8281,1764,18769,42,137,21210000,21210000,18000000,18000000,13000000,6666667,18000000,18000000,18000000,40.73,1658.9328999999998,5807.964099999999,6642.25,76.21,81.5,55500000,52210000,151500000,57000000,18500000,97,35,93,2.05,4.2025,4.2848999999999995,4.5796,2.07,2.14,1.37,1.8769000000000002,1.1881000000000002,6.864400000000001,1.09,2.62,3,3,3,39,1521,289,5776,17,76,8,64,36,225,6,15,16.869983326540865,16.869983326540865,16.38045991542581
WSH,WSH,SD,6.3,6.3,6.3,10,11,2020,9,2,56,3136,225,3025,15,55,7,10,4,25,625,225,1369,20,400,196,1089,14,33,15,37,2.6296296296296298,6.914951989026064,6.479338842975206,14.55281207133059,2.5454545454545454,3.814814814814815,0.0410958904109589,0.0016888722086695438,0.0034862590970473695,0.0017217334412286294,0.05904455179817499,0.041493775933609964,0.1080669710806697,0.011678470238550303,0.02258865398417469,0.025056063207125553,0.15029522275899088,0.1582910711541417,2.47,6.100900000000001,37.209999999999994,88.5481,6.1,9.41,32,33,33,Washington Nationals,WSH,Washington Nationals,San Diego Padres,73.0,5329.0,428.48999999999995,5227.29,20.7,72.3,69,4761,441,5625,1,1,0,0,0,0,21,75,162,62,162,Daniel Hudson,3,9,4,25,2,5,1,1,2,215,215,215,6,6,6,RP,RP,RP,0.5740740740740741,0.4193548387096774,0.4876543209876543,8,64,100,100,10,10,UFA,71,5041,784,10609,28,103,1500000,1500000,5000000,6000000,491965,2000000,2096770,5148148,6000000,79.69,6350.496099999999,4806.6489,9880.36,69.33,99.4,11000000,184550000,316750000,25200000,5500000,93,26,79,1.1,1.2100000000000002,0.0025000000000000005,0.9025,-0.05,0.95,1.14,1.2995999999999999,1.5876000000000001,5.475599999999999,1.26,2.34,1,1,0,27,729,121,729,11,27,9,81,9,64,3,8,14.22097566607244,14.22097566607244,13.10616285473262
CHC,PHI,TOR,6.2,6.2,6.2,10,11,2021,9,1,31,961,361,729,19,27,5,4,6,14,196,256,324,13,169,225,256,15,16,16,18,2.1176470588235294,4.484429065743945,38.440000000000005,26.123456790123452,6.2,5.111111111111111,0.0550696469063816,0.003032666010393545,0.0007203014663321011,0.0010405827263267429,0.026838432635534086,0.03225806451612903,0.11661807580174928,0.01359977560370254,0.02768838836580597,0.027183617887745534,0.16639828234031134,0.16487455197132617,3.41,11.628100000000002,42.6409,54.760000000000005,6.53,7.4,32,33,34,Chicago Cubs,PHI,Philadelphia Phillies,Toronto Blue Jays,34.3,1176.4899999999998,428.48999999999995,961.0,20.7,31.0,41,1681,484,1156,1,1,0,1,0,1,22,34,162,60,163,David Phelps,1,1,16,16,4,4,17,7,2,198,198,198,20,14,8,RP,RP,RP,0.5185185185185185,0.4666666666666667,0.5644171779141104,1,1,0,0,0,0,UFA,36,1296,961,2116,31,46,2500000,2500000,1250000,1750000,833342,555480,1750000,1612000,1750000,0.0,0.0,1790.1361000000002,1790.1361000000002,42.31,42.31,1750000,49325000,134350000,186250000,1750000,84,28,92,0.31,0.0961,0.32489999999999997,1.0,0.57,1.0,1.4,1.9599999999999997,1.3456,5.3824,1.16,2.32,3,2,2,17,289,25,81,5,9,2,4,4,4,2,2,14.73180128983843,14.73180128983843,13.63319940111624
MIL,SD,SD,6.5,6.5,6.5,10,11,2020,9,4,105,11025,81,784,9,28,5,2,4,58,3364,9,81,56,3136,9,64,3,8,3,9,3.1136363636363638,9.694731404958679,8.41,8.7025,2.9,2.95,0.04700854700854701,0.0022098034918547737,0.0035304638429310762,0.0025163295634312893,0.05941770647653001,0.05016302984700276,0.14636752136752137,0.021423451311271827,0.029691200919050358,0.0218983580257608,0.17231134878193705,0.14798093804865814,4.85,23.522499999999997,2.1025,10.240000000000002,1.45,3.2,30,31,32,Milwaukee Brewers,MIL,San Diego Padres,San Diego Padres,104.0,10816.0,349.69,1962.4899999999998,18.7,44.3,46,2116,400,2209,18,324,0,0,0,0,20,47,161,61,162,Drew Pomeranz,10,100,0,0,0,0,1,2,2,246,246,246,6,6,6,RP,RP,RP,0.5527950310559007,0.6229508196721312,0.4876543209876543,2,4,16,16,4,4,UFA,137,18769,841,3481,29,59,1500000,1500000,4000000,6000000,491965,3481481,8000000,6000000,8000000,0.0,0.0,5902.8489,5902.8489,76.83,76.83,34000000,31900000,43000000,25200000,8500000,89,38,79,-0.36,0.1296,1.0,3.0276,1.0,1.74,1.43,2.0448999999999997,1.0404,4.6225,1.02,2.15,0,0,0,44,1936,100,400,10,20,2,4,1,4,1,2,14.22097566607244,14.22097566607244,13.10616285473262
PHI,SF,ATL,6.2,6.2,6.2,10,11,2021,9,1,126,15876,400,23409,20,153,4,3,6,83,6889,121,6400,79,6241,100,5329,10,73,11,80,2.1818181818181817,4.760330578512396,21.777777777777782,10.112400000000001,4.666666666666667,3.18,0.05360623781676413,0.0028736287328674725,0.0014457343607685524,0.0013184756944279636,0.03802281368821293,0.03631082062454612,0.11695906432748537,0.013679422728360861,0.031484881634515134,0.013332953612333337,0.1774397972116603,0.11546840958605664,6.24,38.9376,11.696399999999999,62.410000000000004,3.42,7.9,30,31,32,Philadelphia Phillies,SF,San Francisco Giants,Atlanta Braves,114.0,12996.0,691.69,23409.0,26.3,153.0,25,625,49,1521,21,441,25,784,5,28,7,39,162,60,161,Drew Smyly,7,49,1,25,1,5,7,23,18,188,188,188,14,26,27,SP,SP,SP,0.5,0.4833333333333333,0.546583850931677,1,1,0,0,0,0,UFA,120,14400,1764,25281,42,159,7000000,7000000,4000000,11000000,211855,1574481,11000000,4093000,11000000,4.32,18.6624,2386.3225,4443.5556,48.85,66.66,11000000,403000000,18250000,94240000,11000000,81,29,88,-0.68,0.4624000000000001,0.1936,1.5876000000000001,0.44,1.26,1.59,2.5281000000000002,1.2100000000000002,6.100900000000001,1.1,2.47,2,8,4,55,3025,81,2500,9,50,4,16,0,121,0,11,15.761420707019587,15.761420707019587,12.263657357381101
SD,SD,BOS,6.2,6.2,6.2,10,11,2021,9,1,10,100,2209,42025,47,205,4,2,6,8,64,529,11881,8,64,529,9409,23,97,23,109,1.8333333333333333,3.3611111111111107,7.321799307958479,4.37190082644628,2.7058823529411766,2.090909090909091,0.07662835249042146,0.0058719044053962815,0.0013557452566859704,0.0020710030235456525,0.036820446177171326,0.04550827423167849,0.140485312899106,0.01973612314035972,0.009926494682171327,0.009054219830211983,0.09963179553822829,0.09515366430260047,8.31,69.05610000000001,16.240900000000003,79.21000000000001,4.03,8.9,31,32,33,San Diego Padres,SD,San Diego Padres,Boston Red Sox,8.7,75.68999999999998,2631.6899999999996,35344.0,51.3,188.0,3,9,196,2916,3,9,100,1024,10,32,14,54,162,61,162,Garrett Richards,1,1,4,100,2,10,2,2,14,210,210,210,5,6,25,SP,RP,RP,0.4320987654320987,0.6229508196721312,0.5679012345679012,0,0,0,9,0,3,UFA,11,121,2116,25921,46,161,7000000,7000000,8500000,8500000,7000000,3889148,9500000,9241000,9500000,0.0,0.0,0.0,0.0,0.0,0.0,10000000,326000000,43000000,31850000,10000000,70,38,92,-0.24,0.0576,0.9409,1.4641,0.97,1.21,1.85,3.4225000000000003,1.5625,8.0656,1.25,2.84,0,0,9,6,36,289,5929,17,77,0,0,4,81,2,9,15.761420707019587,15.761420707019587,15.761420707019587
HOU,NYY,NYY,6.4,6.4,6.4,10,11,2020,9,9,142,20164,2809,41616,53,204,3,2,4,66,4356,729,9216,59,3481,529,7744,23,88,27,96,6.791666666666667,46.126736111111114,30.57439446366782,33.76010701545779,5.529411764705882,5.810344827586207,0.025121683152771235,0.0006310989644282302,0.0006695254709266093,0.0006422117510016215,0.0258751902587519,0.02534189714685192,0.17061809807923797,0.02911053539217647,0.020470335851583112,0.021681137440399272,0.1430745814307458,0.1472451610084327,2.5,6.25,8.0656,36.8449,2.84,6.07,28,29,30,Houston Astros,HOU,New York Yankees,New York Yankees,212.3,45071.29000000001,5329.0,64668.490000000005,73.0,254.3,34,1156,144,1764,33,1089,121,1681,11,41,12,42,161,60,162,Gerrit Cole,5,25,9,121,3,11,3,40,40,220,220,220,13,56,57,SP,SP,SP,0.6583850931677019,0.55,0.5679012345679012,0,0,0,0,0,0,UFA,326,106276,8836,113569,94,337,13500000,13500000,36000000,36000000,13500000,13333333,36000000,36000000,36000000,97.99,9602.040099999998,767.8441,7729.9264,27.71,87.92,324000000,42250000,336500000,111300000,36000000,106,33,92,6.91,47.7481,4.6225,60.6841,2.15,7.79,0.89,0.7921,0.9216,4.0804,0.96,2.02,1,27,27,48,2304,289,3364,17,58,20,400,49,529,7,23,16.41820024340866,16.41820024340866,16.41820024340866
LAA,LAA,BOS,6.0,6.0,6.0,10,11,2021,9,1,58,3364,361,5929,19,77,4,3,6,20,400,400,3481,20,400,361,2809,19,53,20,59,4.6875,21.97265625,4.0,4.1720235400633765,2.0,2.0425531914893615,0.024453614549900655,0.000597979264555113,0.0044267198581324834,0.003713206082147515,0.06653359946773121,0.06093608193958252,0.11462631820265932,0.013139192824697308,0.017706879432529934,0.015491583183825939,0.13306719893546243,0.12446518864255153,2.48,6.1504,105.2676,216.08999999999997,10.26,14.7,28,29,30,Los Angeles Angels,LAA,Los Angeles Angels,Boston Red Sox,72.7,5285.29,278.89,7344.490000000001,16.7,85.7,71,5041,324,8100,1,1,0,0,0,0,18,90,161,60,162,Hansel Robles,1,1,4,49,2,7,1,1,14,220,220,220,10,10,25,RP,RP,RP,0.4472049689440994,0.4333333333333333,0.5679012345679012,23,529,1,225,1,15,UFA,75,5625,400,9216,20,96,1400000,1400000,3850000,2000000,1400000,1425926,698945,3850000,2075000,97.41,9488.7081,0.36,177.4224,0.6,13.32,2000000,31000000,260850000,31850000,2000000,72,26,92,2.57,6.604899999999999,0.5476,1.8225000000000002,-0.74,-1.35,1.02,1.0404,3.0276,9.7344,1.74,3.12,1,1,9,16,256,100,2209,10,47,5,25,0,9,0,3,14.151982794585487,14.151982794585487,14.151982794585487
NYY,NYY,STL,6.5,6.5,6.5,10,11,2021,9,1,160,25600,1369,45796,37,214,5,2,2,88,7744,361,14161,88,7744,361,13689,19,117,19,119,2.857142857142857,8.16326530612245,7.839999999999999,6.776518014613253,2.8,2.6031746031746033,0.03375353034373493,0.001139300810665435,0.0011428879681783417,0.0012044375411874625,0.03380662609871535,0.03470500743678731,0.09643865812495694,0.009300414780942325,0.008960241670518199,0.008161892695333331,0.09465855307640297,0.09034319396243046,4.91,24.1081,12.0409,85.74759999999999,3.47,9.26,36,37,37,New York Yankees,NYY,New York Yankees,St. Louis Cardinals,161.3,26017.690000000002,2430.49,40682.88999999999,49.3,201.7,32,1024,81,1521,29,841,64,1444,8,38,9,39,162,60,161,J.A. Happ,8,64,4,100,2,10,40,40,23,205,205,205,55,56,31,SP,SP,SP,0.6358024691358025,0.55,0.5527950310559007,0,0,0,0,0,0,UFA,140,19600,1764,26896,42,164,17000000,17000000,17000000,8000000,17000000,6296296,2795715,17000000,8000000,23.16,536.3856,2157.6025000000004,2678.0625,46.45,51.75,8000000,124555000,336500000,17000000,8000000,103,33,89,1.21,1.4641,1.5376,0.28090000000000004,1.24,-0.53,1.29,1.6641000000000001,1.1025,6.400899999999999,1.05,2.53,27,27,11,49,2401,225,3969,15,63,12,144,4,144,2,12,16.64872390202049,16.64872390202049,16.64872390202049
OAK,OAK,OAK,6.4,6.4,6.4,10,11,2020,9,2,48,2304,64,3025,8,55,6,2,5,34,1156,4,961,32,1024,1,729,1,27,2,31,2.1025641025641026,4.42077580539119,6.673611111111112,6.141776937618147,2.5833333333333335,2.4782608695652173,0.07103825136612021,0.00504643315715608,0.0039184857012007695,0.003885106601743524,0.0625978090766823,0.06233062330623306,0.1493624772313297,0.022309149604679484,0.026150449714263474,0.023861458126776394,0.1617110067814293,0.15447154471544716,4.72,22.278399999999998,0.17639999999999997,18.3184,0.42,4.28,32,33,34,Oakland Athletics,OAK,Oakland Athletics,Oakland Athletics,61.0,3721.0,453.69000000000005,6724.0,21.3,82.0,75,5625,441,7744,0,0,0,0,0,0,21,88,162,60,162,Jake Diekman,7,49,0,9,0,3,15,15,15,195,195,195,28,29,29,RP,RP,RP,0.5987654320987654,0.6,0.5308641975308642,0,0,0,49,0,7,UFA,82,6724,961,12996,31,114,2250000,2250000,2750000,4000000,786305,1018519,4000000,2750000,4000000,20.76,430.97760000000005,7145.320900000001,9932.1156,84.53,99.66,7500000,37600000,7500000,21300000,3750000,97,36,86,0.16,0.0256,1.8769000000000002,2.9929,1.37,1.73,1.43,2.0448999999999997,0.8835999999999999,5.1529,0.94,2.27,9,9,9,39,1521,144,2116,12,46,1,1,4,25,2,5,14.626440774180603,14.626440774180603,13.575100036855485
