Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,Agente libre
J.P. Crawford,SS,160,0.988,619,169,9,54,0.273,0.714,SEA,2050000,2050000,2050000,25600,0.976144,383161,28561,81,2916,0.07452900000000001,0.5097959999999999,No
Tommy Edman,2B,159,0.982,641,168,11,56,0.262,0.695,STL,596000,596000,596000,25281,0.964324,410881,28224,121,3136,0.06864400000000001,0.4830249999999999,No
Jose Altuve,2B,146,0.901,602,167,31,83,0.277,0.838,HOU,26000000,29000000,29000000,21316,0.811801,362404,27889,961,6889,0.07672900000000002,0.702244,No
Ty France,DH,152,0.938,571,166,18,73,0.291,0.813,SEA,587500,587500,587500,23104,0.8798439999999998,326041,27556,324,5329,0.08468099999999999,0.6609689999999999,No
Rafael Devers,3B,156,0.963,591,165,38,113,0.279,0.89,BOS,4575000,4575000,4575000,24336,0.9273689999999999,349281,27225,1444,12769,0.07784100000000002,0.7921,No
Nick Castellanos,RF,138,0.852,531,164,34,100,0.309,0.939,CIN,14000000,14075000,13849496,19044,0.725904,281961,26896,1156,10000,0.095481,0.8817209999999999,No
David Fletcher,2B,157,0.969,626,164,2,47,0.262,0.622,LAA,2000000,2000000,2000000,24649,0.9389609999999999,391876,26896,4,2209,0.06864400000000001,0.386884,No
J.D. Martinez,DH,148,0.914,570,163,28,99,0.286,0.867,BOS,19350000,19350000,19350000,21904,0.835396,324900,26569,784,9801,0.08179599999999998,0.7516889999999999,No
Tim Anderson,SS,123,0.759,527,163,17,61,0.309,0.806,CHW,7250000,7250000,7250000,15129,0.5760810000000001,277729,26569,289,3721,0.095481,0.6496360000000001,No
Teoscar Hernandez,DH,143,0.883,550,163,32,116,0.296,0.87,TOR,4325000,4325000,4325000,20449,0.779689,302500,26569,1024,13456,0.08761599999999999,0.7569,No
Ozzie Albies,2B,157,0.975,629,163,30,106,0.259,0.799,ATL,3000000,3000000,3000000,24649,0.9506249999999999,395641,26569,900,11236,0.067081,0.6384010000000001,No
D.J. LeMahieu,3B,150,0.926,597,160,10,57,0.268,0.711,NYY,15000000,15000000,15000000,22500,0.8574760000000001,356409,25600,100,3249,0.07182400000000001,0.505521,Si
Jorge Polanco,SS,152,0.938,588,158,33,98,0.269,0.826,MIN,4333334,4333334,4333334,23104,0.8798439999999998,345744,24964,1089,9604,0.07236100000000001,0.6822759999999999,No
Aaron Judge,RF,148,0.914,550,158,39,98,0.287,0.916,NYY,10175000,10175000,10175000,21904,0.835396,302500,24964,1521,9604,0.08236899999999998,0.839056,No
Manny Machado,3B,153,0.944,564,157,28,106,0.278,0.837,SD,30000000,32000000,32000000,23409,0.8911359999999999,318096,24649,784,11236,0.07728400000000002,0.700569,No
Alex Verdugo,CF,146,0.901,544,157,13,63,0.289,0.777,BOS,649500,649500,649500,21316,0.811801,295936,24649,169,3969,0.08352099999999998,0.6037290000000001,No
Mitch Haniger,RF,157,0.969,620,157,39,100,0.253,0.804,SEA,3010000,3010000,3010000,24649,0.9389609999999999,384400,24649,1521,10000,0.064009,0.6464160000000001,No
Juan Soto,RF,151,0.932,502,157,29,95,0.313,0.999,WSH,8500000,8500000,8500000,22801,0.8686240000000001,252004,24649,841,9025,0.097969,0.998001,No
Xander Bogaerts,SS,144,0.889,529,156,23,79,0.295,0.863,BOS,20000000,20000000,20000000,20736,0.790321,279841,24336,529,6241,0.08702499999999999,0.744769,No
Carlos Correa,SS,148,0.914,555,154,26,92,0.278,0.847,HOU,11700000,11700000,11700000,21904,0.835396,308025,23716,676,8464,0.07728400000000002,0.717409,No
Matt Olson,1B,156,0.963,565,153,39,111,0.271,0.911,OAK,5000000,5000000,5000000,24336,0.9273689999999999,319225,23409,1521,12321,0.073441,0.829921,No
Bryce Harper,RF,141,0.87,488,151,35,84,0.309,1.044,PHI,26000000,28038462,28038462,19881,0.7569,238144,22801,1225,7056,0.095481,1.089936,No
Nolan Arenado,3B,157,0.969,593,151,34,105,0.255,0.807,STL,35000000,35025000,20570500,24649,0.9389609999999999,351649,22801,1156,11025,0.065025,0.6512490000000001,No
Jeimer Candelario,1B,149,0.92,557,151,16,67,0.271,0.795,DET,2850000,2850000,2850000,22201,0.8464,310249,22801,256,4489,0.073441,0.6320250000000001,No
Jake Cronenworth,2B,152,0.938,567,151,21,71,0.266,0.8,SD,584900,584900,584900,23104,0.8798439999999998,321489,22801,441,5041,0.07075600000000001,0.6400000000000001,No
Jean Segura,SS,131,0.809,514,149,14,58,0.29,0.784,PHI,14250000,14850000,14850000,17161,0.6544810000000001,264196,22201,196,3364,0.0841,0.6146560000000001,No
Kyle Tucker,RF,140,0.864,506,149,30,92,0.295,0.916,HOU,624300,624300,624300,19600,0.7464959999999999,256036,22201,900,8464,0.08702499999999999,0.839056,No
Yordan Alvarez,DH,144,0.889,537,149,33,104,0.278,0.877,HOU,609000,609000,609000,20736,0.790321,288369,22201,1089,10816,0.07728400000000002,0.769129,No
Nicholas Lopez,2B,151,0.932,497,149,2,43,0.3,0.744,KC,597500,597500,597500,22801,0.8686240000000001,247009,22201,4,1849,0.09,0.553536,No
Justin Turner,3B,151,0.932,533,148,27,87,0.278,0.832,LAD,8000000,12000000,12000000,22801,0.8686240000000001,284089,21904,729,7569,0.07728400000000002,0.692224,Si
Jose Abreu,1B,152,0.938,566,147,30,117,0.26,0.828,CHW,16000000,17666666,17666666,23104,0.8798439999999998,320356,21609,900,13689,0.06760000000000001,0.685584,No
Pete Alonso,1B,152,0.938,561,147,37,94,0.262,0.863,NYM,676775,676775,676775,23104,0.8798439999999998,314721,21609,1369,8836,0.06864400000000001,0.744769,No
Nate Lowe,1B,157,0.969,557,147,18,72,0.264,0.771,TEX,575000,575000,575000,24649,0.9389609999999999,310249,21609,324,5184,0.06969600000000001,0.594441,No
Jared Walsh,1B,144,0.889,530,147,29,98,0.277,0.85,LAA,590500,590500,590500,20736,0.790321,280900,21609,841,9604,0.07672900000000002,0.7224999999999999,No
Michael Brantley,LF,121,0.747,469,146,8,47,0.311,0.799,HOU,16000000,16000000,16000000,14641,0.558009,219961,21316,64,2209,0.096721,0.6384010000000001,Si
Dansby Swanson,SS,161,1.0,588,146,27,88,0.248,0.76,ATL,6000000,6000000,6000000,25921,1.0,345744,21316,729,7744,0.061503999999999996,0.5776,No
Randy Arozarena,LF,141,0.87,529,145,20,69,0.274,0.815,TB,581200,581200,581200,19881,0.7569,279841,21025,400,4761,0.07507600000000002,0.664225,No
Brandon Crawford,SS,138,0.852,483,144,24,90,0.298,0.895,SF,15000000,15200000,15200000,19044,0.725904,233289,20736,576,8100,0.088804,0.801025,No
Starling Marte,CF,120,0.741,467,144,12,55,0.308,0.837,OAK,12500000,12500000,205489,14400,0.549081,218089,20736,144,3025,0.094864,0.700569,No
Dylan Carlson,LF,149,0.92,542,144,18,65,0.266,0.78,STL,577100,577100,577100,22201,0.8464,293764,20736,324,4225,0.07075600000000001,0.6084,No
Jonathan India,3B,150,0.926,532,143,21,69,0.269,0.835,CIN,570500,570500,570500,22500,0.8574760000000001,283024,20449,441,4761,0.07236100000000001,0.697225,No
Trey Mancini,DH,147,0.907,556,142,21,71,0.255,0.758,BAL,4750000,4750000,4750000,21609,0.8226490000000001,309136,20164,441,5041,0.065025,0.574564,No
Josh Harrison,2B,138,0.852,505,141,8,60,0.279,0.741,OAK,1000000,1250000,349440,19044,0.725904,255025,19881,64,3600,0.07784100000000002,0.549081,No
Adolis Garcia,OF,149,0.92,581,141,31,90,0.243,0.741,TEX,575000,575000,534743,22201,0.8464,337561,19881,961,8100,0.059049,0.549081,No
Giancarlo Stanton,DH,139,0.858,510,139,35,97,0.273,0.87,NYY,29000000,29000000,29000000,19321,0.7361639999999999,260100,19321,1225,9409,0.07452900000000001,0.7569,No
Eduardo Escobar,3B,146,0.901,549,139,28,90,0.253,0.786,MIL,7500000,7500000,2661318,21316,0.811801,301401,19321,784,8100,0.064009,0.617796,No
Charlie Blackmon,RF,150,0.932,514,139,13,78,0.27,0.761,COL,21000000,21333333,21333333,22500,0.8686240000000001,264196,19321,169,6084,0.0729,0.579121,No
Lourdes Gurriel Jr.,LF,141,0.87,500,138,21,84,0.276,0.785,TOR,3500000,3928571,3928571,19881,0.7569,250000,19044,441,7056,0.07617600000000001,0.616225,No
Tyler O'Neill,LF,138,0.852,482,138,34,80,0.286,0.912,STL,594700,594700,594700,19044,0.725904,232324,19044,1156,6400,0.08179599999999998,0.831744,No
Shohei Ohtani,SP,158,0.975,537,138,46,100,0.257,0.965,LAA,3000000,3000000,3000000,24964,0.9506249999999999,288369,19044,2116,10000,0.066049,0.931225,No
Eric Hosmer,1B,151,0.932,509,137,12,65,0.269,0.732,SD,20000000,21000000,21000000,22801,0.8686240000000001,259081,18769,144,4225,0.07236100000000001,0.535824,No
Yoan Moncada,3B,144,0.889,520,137,14,61,0.264,0.787,CHW,6000000,6800000,6800000,20736,0.790321,270400,18769,196,3721,0.06969600000000001,0.6193690000000001,No
Nelson Cruz,DH,140,0.864,513,136,32,86,0.265,0.832,TB,13000000,13000000,5102116,19600,0.7464959999999999,263169,18496,1024,7396,0.07022500000000001,0.692224,Si
Kris Bryant,3B,144,0.889,513,136,25,73,0.265,0.835,SF,19500000,19500000,6814535,20736,0.790321,263169,18496,625,5329,0.07022500000000001,0.697225,No
Andrew Benintendi,LF,134,0.827,493,136,17,73,0.276,0.766,KC,6600000,6600000,3800000,17956,0.6839289999999999,243049,18496,289,5329,0.07617600000000001,0.586756,No
Ryan Mountcastle,1B,144,0.889,534,136,33,89,0.255,0.796,BAL,574500,574500,574500,20736,0.790321,285156,18496,1089,7921,0.065025,0.6336160000000001,No
Hunter Renfroe,RF,144,0.889,521,135,31,96,0.259,0.816,BOS,3100000,3700000,3700000,20736,0.790321,271441,18225,961,9216,0.067081,0.6658559999999999,Si
Fernando Tatis Jr.,SS,130,0.803,478,135,42,97,0.282,0.975,SD,1000000,1714285,1714285,16900,0.6448090000000001,228484,18225,1764,9409,0.07952399999999998,0.9506249999999999,No
Ryan McMahon,2B,152,0.944,528,134,23,86,0.254,0.779,COL,2375000,2375000,2375000,23104,0.8911359999999999,278784,17956,529,7396,0.064516,0.6068410000000001,No
Robbie Grossman,LF,156,0.963,557,133,23,67,0.239,0.772,DET,5000000,5500000,5500000,24336,0.9273689999999999,310249,17689,529,4489,0.057121,0.5959840000000001,Si
Javier Baez,SS,138,0.852,502,133,31,87,0.265,0.813,NYM,11650000,11650000,199355,19044,0.725904,252004,17689,961,7569,0.07022500000000001,0.6609689999999999,No
Raimel Tapia,LF,134,0.832,487,133,6,50,0.273,0.699,COL,1950000,1950000,1950000,17956,0.692224,237169,17689,36,2500,0.07452900000000001,0.48860099999999995,No
Pavin Smith,RF,145,0.895,498,133,11,49,0.267,0.732,ARI,586600,586600,586600,21025,0.801025,248004,17689,121,2401,0.071289,0.535824,No
Cesar Hernandez,2B,149,0.92,570,132,21,62,0.232,0.694,CHW,5000000,5000000,1747330,22201,0.8464,324900,17424,441,3844,0.053824000000000004,0.48163599999999995,No
C.J. Cron,1B,142,0.882,470,132,28,92,0.281,0.903,COL,1000000,1000000,1000000,20164,0.7779240000000001,220900,17424,784,8464,0.07896100000000002,0.815409,No
Brandon Lowe,2B,149,0.92,535,132,39,99,0.247,0.863,TB,2500000,2500000,2500000,22201,0.8464,286225,17424,1521,9801,0.061009,0.744769,No
Trevor Story,SS,143,0.888,526,132,24,75,0.251,0.801,COL,17500000,18500000,18500000,20449,0.788544,276676,17424,576,5625,0.063001,0.6416010000000001,No
Jose Iglesias,SS,137,0.846,483,131,9,48,0.271,0.701,BOS,570500,570500,82809,18769,0.7157159999999999,233289,17161,81,2304,0.073441,0.4914009999999999,Si
Miguel Rojas,SS,132,0.815,495,131,9,48,0.265,0.713,MIA,5000000,5000000,5000000,17424,0.664225,245025,17161,81,2304,0.07022500000000001,0.508369,No
Josh Bell,1B,144,0.889,498,130,27,88,0.261,0.823,WSH,6350000,6350000,6350000,20736,0.790321,248004,16900,729,7744,0.068121,0.677329,No
Willy Adames,SS,140,0.864,497,130,25,73,0.262,0.818,MIL,590000,590000,431400,19600,0.7464959999999999,247009,16900,625,5329,0.06864400000000001,0.6691239999999999,No
Chris Taylor,2B,148,0.914,507,129,20,73,0.254,0.782,LAD,7800000,7800000,7800000,21904,0.835396,257049,16641,400,5329,0.064516,0.6115240000000001,No
Jesse Winker,LF,110,0.679,423,129,24,71,0.305,0.949,CIN,3150000,3150000,3150000,12100,0.4610410000000001,178929,16641,576,5041,0.093025,0.9006009999999999,No
Kyle Seager,3B,159,0.982,603,128,35,101,0.212,0.723,SEA,18000000,18500000,18500000,25281,0.964324,363609,16384,1225,10201,0.044944,0.522729,No
Josh Rojas,SS,139,0.858,484,128,11,44,0.265,0.752,ARI,582400,582400,582400,19321,0.7361639999999999,234256,16384,121,1936,0.07022500000000001,0.565504,No
David Peralta,LF,150,0.926,487,127,8,63,0.261,0.734,ARI,7500000,7500000,7500000,22500,0.8574760000000001,237169,16129,64,3969,0.068121,0.538756,No
Enrique Hernandez,2B,134,0.827,508,127,20,60,0.25,0.786,BOS,6000000,6000000,4500000,17956,0.6839289999999999,258064,16129,400,3600,0.0625,0.617796,Si
Kyle Farmer,SS,147,0.907,483,127,16,63,0.263,0.732,CIN,640000,640000,640000,21609,0.8226490000000001,233289,16129,256,3969,0.06916900000000001,0.535824,No
Luis Arraez,2B,121,0.747,428,126,2,42,0.294,0.733,MIN,611000,611000,611000,14641,0.558009,183184,15876,4,1764,0.08643599999999999,0.537289,No
J.T. Realmuto,C,134,0.827,476,125,17,73,0.263,0.782,PHI,20000000,20000000,10000000,17956,0.6839289999999999,226576,15625,289,5329,0.06916900000000001,0.6115240000000001,Si
Austin Hays,LF,131,0.809,488,125,22,71,0.256,0.768,BAL,578500,578500,578500,17161,0.6544810000000001,238144,15625,484,5041,0.065536,0.589824,No
Max Muncy,1B,144,0.889,497,124,36,94,0.25,0.895,LAD,7500000,9000000,9000000,20736,0.790321,247009,15376,1296,8836,0.0625,0.801025,No
Anthony Rizzo,1B,141,0.87,496,123,22,61,0.248,0.783,NYY,16500000,16500000,0,19881,0.7569,246016,15129,484,3721,0.061503999999999996,0.613089,No
Mookie Betts,RF,122,0.753,466,123,23,58,0.264,0.854,LAD,17500000,22500000,22500000,14884,0.567009,217156,15129,529,3364,0.06969600000000001,0.729316,No
Randal Grichuk,RF,149,0.92,511,123,22,81,0.241,0.703,TOR,9333333,10333333,10333333,22201,0.8464,261121,15129,484,6561,0.058080999999999994,0.49420899999999995,No
Joe Wendle,3B,136,0.84,460,122,11,54,0.265,0.741,TB,2250000,2250000,2250000,18496,0.7055999999999999,211600,14884,121,2916,0.07022500000000001,0.549081,No
Luis Urias,3B,150,0.926,490,122,23,75,0.249,0.789,MIL,575100,575100,575100,22500,0.8574760000000001,240100,14884,529,5625,0.062001,0.6225210000000001,No
Miguel Cabrera,DH,130,0.803,472,121,15,75,0.256,0.702,DET,30000000,30000000,30000000,16900,0.6448090000000001,222784,14641,225,5625,0.065536,0.49280399999999996,No
Elvis Andrus,SS,146,0.901,497,121,3,37,0.244,0.614,OAK,7750000,8800000,8300000,21316,0.811801,247009,14641,9,1369,0.059536,0.376996,No
Carlos Santana,1B,158,0.975,565,121,19,69,0.214,0.66,KC,7000000,7250000,7250000,24964,0.9506249999999999,319225,14641,361,4761,0.045795999999999996,0.43560000000000004,Si
Avisail Garcia,RF,135,0.833,461,121,29,86,0.263,0.821,MIL,10500000,10750000,10750000,18225,0.693889,212521,14641,841,7396,0.06916900000000001,0.6740409999999999,No
Kolten Wong,2B,116,0.716,445,121,14,50,0.272,0.783,MIL,7000000,7500000,2000000,13456,0.512656,198025,14641,196,2500,0.07398400000000001,0.613089,Si
Buster Posey,C,113,0.698,395,120,18,56,0.304,0.889,SF,21400000,22202777,22202777,12769,0.4872039999999999,156025,14400,324,3136,0.092416,0.790321,No
Mark Canha,LF,141,0.87,519,120,17,61,0.231,0.746,OAK,6925000,6925000,6925000,19881,0.7569,269361,14400,289,3721,0.053361000000000006,0.556516,No
Austin Meadows,DH,142,0.877,518,120,27,106,0.232,0.769,TB,591400,591400,591400,20164,0.769129,268324,14400,729,11236,0.053824000000000004,0.591361,No
Joey Votto,1B,129,0.796,448,119,36,99,0.266,0.938,CIN,25000000,25000000,25000000,16641,0.6336160000000001,200704,14161,1296,9801,0.07075600000000001,0.8798439999999998,No
Yandy Diaz,3B,134,0.827,465,119,13,64,0.256,0.74,TB,588900,588900,588900,17956,0.6839289999999999,216225,14161,169,4096,0.065536,0.5476,No
Gleyber Torres,SS,127,0.784,459,119,9,51,0.259,0.697,NYY,4000000,4000000,4000000,16129,0.6146560000000001,210681,14161,81,2601,0.067081,0.48580899999999994,No
Christian Vazquez,C,138,0.852,458,118,6,49,0.258,0.659,BOS,6250000,6250000,6250000,19044,0.725904,209764,13924,36,2401,0.066564,0.43428100000000003,No
Michael Taylor,CF,142,0.877,483,118,12,54,0.244,0.653,KC,1750000,2000000,2000000,20164,0.769129,233289,13924,144,2916,0.059536,0.42640900000000004,Si
Jesus Aguilar,1B,131,0.809,449,117,22,93,0.261,0.788,MIA,4350000,4500000,4500000,17161,0.6544810000000001,201601,13689,484,8649,0.068121,0.620944,No
Adam Duvall,RF,147,0.913,513,117,38,113,0.228,0.772,ATL,2000000,2000000,698945,21609,0.8335690000000001,263169,13689,1444,12769,0.051984,0.5959840000000001,Si
Odubel Herrera,CF,124,0.765,450,117,13,51,0.26,0.726,PHI,10000000,10350000,10350000,15376,0.585225,202500,13689,169,2601,0.06760000000000001,0.527076,No
Kevin Newman,SS,148,0.914,517,117,5,39,0.226,0.574,PIT,598000,598000,598000,21904,0.835396,267289,13689,25,1521,0.051076,0.32947599999999994,No
Jorge Soler,DH,150,0.932,516,115,27,70,0.223,0.749,ATL,8050000,8250000,2813172,22500,0.8686240000000001,266256,13225,729,4900,0.049729,0.561001,No
Jazz Chisholm,2B,124,0.765,464,115,18,53,0.248,0.728,MIA,571750,571750,571750,15376,0.585225,215296,13225,324,2809,0.061503999999999996,0.529984,No
A.J. Pollock,LF,117,0.722,384,114,21,69,0.297,0.892,LAD,15000000,18000000,18000000,13689,0.521284,147456,12996,441,4761,0.088209,0.795664,No
Josh Donaldson,3B,135,0.833,457,113,26,72,0.247,0.827,MIN,21000000,21000000,21000000,18225,0.693889,208849,12769,676,5184,0.061009,0.6839289999999999,No
Wil Myers,LF,146,0.901,442,113,17,63,0.256,0.768,SD,20000000,22500000,22500000,21316,0.811801,195364,12769,289,3969,0.065536,0.589824,No
Jonathan Villar,OF,142,0.877,454,113,18,42,0.249,0.738,NYM,3550000,3550000,3550000,20164,0.769129,206116,12769,324,1764,0.062001,0.544644,Si
Jed Lowrie,2B,139,0.858,457,112,14,69,0.245,0.717,OAK,1500000,1500000,1500000,19321,0.7361639999999999,208849,12544,196,4761,0.060024999999999995,0.5140889999999999,No
Giovanny Urshela,3B,116,0.716,420,112,14,49,0.267,0.72,NYY,4650000,4650000,4650000,13456,0.512656,176400,12544,196,2401,0.071289,0.5184,No
Trent Grisham,CF,132,0.815,462,112,15,62,0.242,0.74,SD,589200,589200,589200,17424,0.664225,213444,12544,225,3844,0.058564,0.5476,No
Yadier Molina,C,121,0.747,440,111,11,66,0.252,0.669,STL,9000000,9000000,9000000,14641,0.558009,193600,12321,121,4356,0.063504,0.44756100000000004,Si
Leury Garcia,OF,126,0.778,415,111,5,54,0.268,0.711,CHW,3500000,3500000,3500000,15876,0.605284,172225,12321,25,2916,0.07182400000000001,0.505521,No
Tyler Naquin,RF,127,0.784,411,111,19,70,0.27,0.809,CIN,1500000,1500000,1500000,16129,0.6146560000000001,168921,12321,361,4900,0.0729,0.6544810000000001,No
Matt Chapman,3B,151,0.932,529,111,27,72,0.21,0.716,OAK,6490000,6490000,6490000,22801,0.8686240000000001,279841,12321,729,5184,0.04409999999999999,0.512656,No
Nick Solak,3B,127,0.784,458,111,11,49,0.242,0.677,TEX,586000,586000,497858,16129,0.6146560000000001,209764,12321,121,2401,0.058564,0.45832900000000004,No
Brendan Rodgers,SS,103,0.64,387,110,15,51,0.284,0.798,COL,575500,575500,575500,10609,0.4096,149769,12100,225,2601,0.08065599999999999,0.636804,No
Tommy Pham,LF,155,0.957,475,109,15,49,0.23,0.724,SD,8900000,8900000,8900000,24025,0.9158489999999999,225625,11881,225,2401,0.0529,0.524176,No
Dominic Smith,LF,145,0.895,446,109,11,58,0.244,0.668,NYM,2550000,2550000,2550000,21025,0.801025,198916,11881,121,3364,0.059536,0.44622400000000007,No
Ketel Marte,CF,90,0.556,340,108,14,50,0.318,0.909,ARI,6000000,6000000,6000000,8100,0.3091360000000001,115600,11664,196,2500,0.101124,0.826281,No
Corey Seager,SS,95,0.586,353,108,16,57,0.306,0.915,LAD,13750000,13750000,13750000,9025,0.343396,124609,11664,256,3249,0.093636,0.8372250000000001,No
Andrew McCutchen,LF,144,0.889,482,107,27,80,0.222,0.778,PHI,20000000,20000000,20000000,20736,0.790321,232324,11449,729,6400,0.049284,0.605284,No
Manuel Margot,RF,125,0.772,421,107,10,57,0.254,0.696,TB,3400000,3400000,3400000,15625,0.5959840000000001,177241,11449,100,3249,0.064516,0.48441599999999996,No
Akil Baddoo,OF,124,0.765,413,107,13,55,0.259,0.766,DET,570500,570500,570500,15376,0.585225,170569,11449,169,3025,0.067081,0.586756,No
Will Smith,C,130,0.803,414,107,25,76,0.259,0.86,ATL,13000000,13000000,13000000,16900,0.6448090000000001,171396,11449,625,5776,0.067081,0.7395999999999999,No
Will Smith,C,130,0.803,414,107,25,76,0.259,0.86,LAD,590500,590500,590500,16900,0.6448090000000001,171396,11449,625,5776,0.067081,0.7395999999999999,No
Kyle Schwarber,LF,113,0.698,399,106,32,71,0.266,0.928,BOS,7000000,7000000,2459459,12769,0.4872039999999999,159201,11236,1024,5041,0.07075600000000001,0.8611840000000001,Si
Garrett Hampson,2B,147,0.913,453,106,11,33,0.234,0.669,COL,580500,580500,580500,21609,0.8335690000000001,205209,11236,121,1089,0.054756000000000006,0.44756100000000004,No
Hunter Dozier,3B,144,0.889,487,106,16,54,0.218,0.688,KC,2250000,2500000,2500000,20736,0.790321,237169,11236,256,2916,0.047524,0.47334399999999993,No
Miguel Sano,1B,135,0.833,470,105,30,75,0.223,0.778,MIN,11000000,11000000,11000000,18225,0.693889,220900,11025,900,5625,0.049729,0.605284,No
Ian Happ,CF,148,0.914,465,105,25,66,0.226,0.757,CHC,4100000,4100000,4100000,21904,0.835396,216225,11025,625,4356,0.051076,0.573049,No
Mike Yastrzemski,RF,139,0.858,468,105,25,71,0.224,0.768,SF,600000,600000,600000,19321,0.7361639999999999,219024,11025,625,5041,0.050176000000000005,0.589824,No
Francisco Lindor,SS,125,0.772,452,104,20,63,0.23,0.734,NYM,22300000,22300000,22300000,15625,0.5959840000000001,204304,10816,400,3969,0.0529,0.538756,No
Omar Narvaez,C,123,0.759,391,104,11,49,0.266,0.743,MIL,2500000,2500000,2500000,15129,0.5760810000000001,152881,10816,121,2401,0.07075600000000001,0.552049,No
Joc Pederson,LF,137,0.851,429,103,18,61,0.24,0.738,ATL,4500000,4500000,1935520,18769,0.724201,184041,10609,324,3721,0.0576,0.544644,Si
Wilmer Flores,2B,139,0.858,389,102,18,53,0.262,0.782,SF,3000000,3000000,3000000,19321,0.7361639999999999,151321,10404,324,2809,0.06864400000000001,0.6115240000000001,No
Eugenio Suarez,3B,145,0.895,505,100,31,79,0.198,0.713,CIN,10500000,10785714,10785714,21025,0.801025,255025,10000,961,6241,0.039204,0.508369,No
Tyler Stephenson,C,132,0.815,350,100,10,45,0.286,0.797,CIN,570500,570500,570500,17424,0.664225,122500,10000,100,2025,0.08179599999999998,0.635209,No
Bobby Dalbec,1B,133,0.821,417,100,25,78,0.24,0.792,BOS,575000,575000,575000,17689,0.6740409999999999,173889,10000,625,6084,0.0576,0.627264,No
Christian Yelich,LF,117,0.722,399,99,9,51,0.248,0.736,MIL,14000000,14000000,14000000,13689,0.521284,159201,9801,81,2601,0.061503999999999996,0.541696,No
Joey Gallo,RF,153,0.944,498,99,38,77,0.199,0.808,NYY,6200000,6200000,0,23409,0.8911359999999999,248004,9801,1444,5929,0.039601000000000004,0.6528640000000001,No
Christian Walker,1B,115,0.71,401,98,10,46,0.244,0.696,ARI,619300,619300,619300,13225,0.5041,160801,9604,100,2116,0.059536,0.48441599999999996,No
Eddie Rosario,LF,112,0.696,379,98,14,62,0.259,0.74,ATL,8000000,8000000,2795715,12544,0.48441599999999996,143641,9604,196,3844,0.067081,0.5476,No
