Acronimo,Altura,Anio,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2
MIN,6.4,2018,2,65,4225,1,6,30,900,28,784,2.933333333333333,8.604444444444443,0.02976190476190476,0.0008857709750566893,0.0873015873015873,0.007621567145376668,4.5,20.25,29,Minnesota Twins,BOS,Minnesota,56.0,3136.0,55,162,3025,0,0,Addison Reed,6,36,6,230,15,RP,0.4814814814814814,0,0,UFA,44,1936,8250000,8250000,8250000,2.72,7.398400000000001,16750000,52250000,8375000,78,0.11,0.0121,1.43,2.0448999999999997,3,15,225,1,1
PHI,6.3,2018,2,23,529,2,4,9,81,7,49,3.0,9.0,0.022862368541380886,0.0005226878953219224,0.06858710562414265,0.004704191057897301,2.59,6.708099999999999,37,Philadelphia Phillies,COL,Pennsylvania,24.3,590.49,30,162,900,0,0,Pat Neshek,2,4,7,220,14,RP,0.4938271604938271,5,25,UFA,15,225,7750000,5750000,7750000,0.0,0.0,16200000,169200000,8100000,80,0.82,0.6723999999999999,1.15,1.3224999999999998,2,5,25,3,9
BAL,6.6,2018,2,177,31329,1,2,97,9409,90,8100,1.523076923076923,2.3197633136094673,0.04720406681190995,0.0022282239235832586,0.0718954248366013,0.0051689521124353875,5.29,27.9841,31,Baltimore Orioles,TEX,Maryland,153.0,23409.0,30,162,900,28,784,Andrew Cashner,16,256,7,235,14,SP,0.2901234567901234,0,0,UFA,99,9801,9500000,5000000,9500000,10.48,109.83040000000001,16000000,73000000,8000000,47,0.61,0.3721,1.58,2.4964000000000004,3,65,4225,5,25
NYM,6.0,2018,2,100,10000,2,8,60,3600,59,3481,2.8,7.839999999999999,0.036231884057971016,0.0013127494223902543,0.10144927536231885,0.010291955471539594,5.77,33.292899999999996,35,New York Mets,KC,New York,92.0,8464.0,21,162,441,20,400,Jason Vargas,9,81,5,215,9,SP,0.4753086419753086,0,0,UFA,84,7056,6000000,6000000,6000000,12.44,154.75359999999998,16000000,89635000,8000000,77,-0.31,0.0961,1.41,1.9880999999999998,2,30,900,6,36
MIL,6.3,2018,2,153,23409,1,5,83,6889,75,5625,2.1971830985915495,4.827613568736362,0.040938707259413024,0.0016759777520719166,0.08994983566856946,0.00809097293680265,3.5,12.25,30,Milwaukee Brewers,SD,Wisconsin,192.7,37133.28999999999,36,163,1296,35,1225,Jhoulys Chacin,8,64,1,215,5,SP,0.588957055214724,0,0,UFA,156,24336,8750000,8000000,8750000,70.03,4904.2009,15500000,103750000,7750000,96,1.98,3.9204,1.16,1.3456,0,71,5041,15,225
HOU,6.2,2018,2,34,1156,2,2,20,400,19,361,3.8333333333333335,14.694444444444446,0.029175784099197664,0.0008512263778029952,0.11184050571359105,0.012508298718271794,3.75,14.0625,34,Houston Astros,CLE,Texas,45.7,2088.4900000000002,56,162,3136,0,0,Joe Smith,1,1,2,211,12,RP,0.6358024691358025,0,0,UFA,46,2116,7000000,7000000,7000000,23.47,550.8408999999999,15000000,23500000,7500000,103,0.42,0.17639999999999997,1.01,1.0201,1,12,144,5,25
NYM,6.4,2018,2,28,784,2,8,18,324,18,324,2.2142857142857144,4.903061224489797,0.05914659907055344,0.003498320181612793,0.13096746937051118,0.017152478033315783,6.15,37.822500000000005,32,New York Mets,MIL,New York,26.3,691.69,29,162,841,0,0,Anthony Swarzak,2,4,5,215,9,RP,0.4753086419753086,4,16,UFA,31,961,5500000,5000000,5500000,0.0,0.0,14000000,89635000,7000000,77,-0.42,0.17639999999999997,1.6,2.5600000000000005,2,14,196,0,0
CHC,6.6,2018,2,45,2025,2,7,19,361,17,289,2.7857142857142856,7.7602040816326525,0.04425478109688637,0.001958485649933331,0.12328117591275488,0.015198248334431614,2.18,4.752400000000001,32,Chicago Cubs,SEA,Illinois,70.3,4942.089999999999,81,163,6561,0,0,Steve Cishek,3,9,17,215,20,RP,0.5828220858895705,4,16,UFA,78,6084,7500000,6500000,7500000,62.36,3888.7696,13000000,215545000,6500000,95,2.28,5.1983999999999995,1.04,1.0816000000000001,3,28,784,4,16
NYY,6.5,2018,1,163,26569,2,2,87,7569,83,6889,2.1184210526315788,4.487707756232687,0.053889243423385094,0.002904050556744854,0.11416010777848686,0.013032530207995736,4.77,22.752899999999997,31,New York Yankees,STL,New York,156.7,24554.889999999996,31,162,961,29,841,Lance Lynn,10,100,40,270,54,SP,0.6172839506172839,0,0,UFA,161,25921,12000000,12000000,1999996,20.31,412.49609999999996,12000000,14000000,12000000,100,0.33,0.10890000000000001,1.53,2.3409,27,76,5776,10,100
STL,6.3,2018,2,14,196,2,3,10,100,10,100,2.0,4.0,0.05249343832020997,0.0027555610666776887,0.10498687664041995,0.011022244266710755,7.11,50.5521,34,St. Louis Cardinals,HOU,Missouri,12.7,161.29,17,162,289,0,0,Luke Gregerson,0,0,23,200,28,RP,0.5432098765432098,0,0,UFA,12,144,5000000,5000000,5000000,0.0,0.0,11000000,28000000,5500000,88,-0.35,0.12249999999999998,1.58,2.4964000000000004,11,6,36,0,0
OAK,6.1,2018,2,76,5776,5,3,32,1024,31,961,4.222222222222222,17.82716049382716,0.021505376344086023,0.00046248121170077474,0.0908004778972521,0.008244726786369366,3.0,9.0,33,Oakland Athletics,LAA,California,93.0,8649.0,74,162,5476,0,0,Yusmeiro Petit,3,9,15,252,27,RP,0.5987654320987654,0,0,UFA,76,5776,3500000,3500000,3500000,66.45,4415.6025,10000000,18000000,5000000,97,1.7,2.8899999999999997,1.01,1.0201,9,18,324,7,49
NYY,6.6,2018,1,150,22500,2,2,72,5184,62,3844,2.7450980392156863,7.535563244905806,0.037037037037037035,0.0013717421124828531,0.10167029774872913,0.010336849444315234,3.65,13.3225,37,New York Yankees,NYY,New York,153.0,23409.0,29,162,841,29,841,C.C. Sabathia,7,49,40,300,54,SP,0.6172839506172839,0,0,UFA,140,19600,10500000,10000000,10500000,46.96,2205.2416000000003,10000000,14000000,10000000,100,2.34,5.475599999999999,1.31,1.7161000000000002,27,51,2601,9,81
CHC,6.2,2018,1,82,6724,2,7,57,3249,53,2809,1.6590909090909092,2.7525826446280997,0.05962059620596206,0.0035546154919543775,0.0989159891598916,0.009784372911479792,5.82,33.872400000000006,31,Chicago Cubs,NYY,Illinois,82.0,6724.0,33,163,1089,14,196,Jaime Garcia,7,49,17,215,20,RP,0.5828220858895705,0,0,UFA,73,5329,545000,545000,79110,0.0,0.0,10000000,215545000,10000000,95,-0.49,0.24009999999999998,1.54,2.3716,3,44,1936,3,9
SF,6.3,2018,3,54,2916,5,2,19,361,19,361,5.142857142857143,26.44897959183674,0.02356902356902357,0.0005554988719971885,0.12121212121212122,0.014692378328741967,2.59,6.708099999999999,33,San Francisco Giants,LAD,California,66.0,4356.0,72,162,5184,0,0,Tony Watson,6,36,23,218,26,RP,0.4506172839506173,0,0,UFA,72,5184,3000000,3000000,3000000,74.29,5519.004100000001,9000000,11500000,3000000,73,1.8,3.24,1.03,1.0609,8,14,196,4,16
HOU,6.3,2018,2,58,3364,2,2,22,484,21,441,3.35,11.2225,0.03766478342749529,0.0014186359106401238,0.12617702448210924,0.015920641507158793,3.2,10.240000000000002,30,Houston Astros,CHC,Texas,59.0,3481.0,63,162,3969,0,0,Hector Rondon,5,25,2,230,12,RP,0.6358024691358025,15,225,UFA,67,4489,4000000,4000000,4000000,49.11,2411.7921,8500000,23500000,4250000,103,0.91,0.8281000000000001,1.32,1.7424000000000002,1,20,400,2,4
CHC,6.0,2018,2,42,1764,2,7,33,1089,32,1024,0.8275862068965517,0.6848989298454221,0.08547008547008547,0.007305135510263716,0.07073386383731212,0.005003279493355411,7.65,58.52250000000001,35,Chicago Cubs,CHC,Illinois,37.7,1421.2900000000002,49,163,2401,0,0,Brian Duensing,0,0,17,200,20,RP,0.5828220858895705,1,1,UFA,24,576,3500000,3500000,3500000,0.7,0.48999999999999994,7000000,215545000,3500000,95,-1.52,2.3104,1.88,3.5343999999999998,3,29,841,3,9
OAK,6.2,2018,1,166,27556,5,3,71,5041,68,4624,3.7567567567567566,14.113221329437545,0.023901808785529714,0.0005712964632200255,0.08979328165374677,0.008062833430149095,3.56,12.6736,33,Oakland Athletics,HOU,California,172.0,29584.0,31,162,961,30,900,Michael Fiers,8,64,15,211,27,SP,0.5987654320987654,0,0,UFA,139,19321,6000000,6000000,1806448,60.63,3675.9969,6000000,18000000,6000000,97,2.85,8.1225,1.18,1.3923999999999999,9,37,1369,12,144
MIL,6.1,2018,2,45,2025,1,5,29,841,28,784,2.6666666666666665,7.111111111111111,0.038872691933916424,0.0015110861781891711,0.10366051182377714,0.01074550171156744,7.34,53.8756,35,Milwaukee Brewers,WSH,Wisconsin,34.3,1176.4899999999998,34,163,1156,0,0,Matt Albers,3,9,1,225,5,RP,0.588957055214724,1,1,UFA,32,1024,2500000,2500000,2500000,0.0,0.0,5000000,103750000,2500000,96,-1.63,2.6569,1.66,2.7556,0,12,144,3,9
CIN,0.0,2018,2,46,2116,2,3,20,400,18,324,3.823529411764706,14.619377162629759,0.029513888888888888,0.000871069637345679,0.11284722222222222,0.012734495563271605,2.53,6.400899999999999,33,Cincinnati Reds,ARI,Ohio,64.0,4096.0,57,162,3249,0,0,David Hernandez,2,4,10,245,15,RP,0.4135802469135802,0,0,UFA,65,4225,2800000,2500000,2800000,75.49,5698.740099999999,5000000,10250000,2500000,67,1.78,3.1684,0.98,0.9603999999999999,5,17,289,5,25
CHW,6.1,2018,1,24,576,2,2,18,324,17,289,0.8333333333333334,0.6944444444444445,0.05420054200542005,0.0029376987536813034,0.045167118337850046,0.00204006857894535,12.41,154.0081,34,Chicago White Sox,TEX,Illinois,12.3,151.29000000000002,3,162,9,3,9,Miguel Gonzalez,3,9,6,170,9,SP,0.382716049382716,0,0,UFA,5,25,4750000,4750000,4750000,0.0,0.0,4750000,19750000,4750000,62,-0.69,0.4760999999999999,2.43,5.9049000000000005,3,6,36,0,0
CIN,0.0,2018,2,57,3249,2,3,17,289,17,289,2.5652173913043477,6.580340264650283,0.03247211633488634,0.0010544383392663925,0.08329803755470845,0.0069385630604656195,1.95,3.8024999999999998,32,Cincinnati Reds,MIL,Ohio,78.7,6193.6900000000005,72,162,5184,0,0,Jared Hughes,3,9,10,240,15,RP,0.4135802469135802,7,49,UFA,59,3481,2875000,2125000,2875000,96.68,9347.022400000002,4500000,10250000,2250000,67,3.33,11.0889,1.02,1.0404,5,23,529,4,16
OAK,0.0,2018,1,62,3844,5,3,27,729,24,576,2.1875,4.78515625,0.05529635389666494,0.0030576867542652124,0.12096077414895456,0.014631508882714394,3.36,11.289599999999998,41,Oakland Athletics,ARI,California,64.3,4134.49,68,162,4624,0,0,Fernando Rodney,3,9,15,240,27,RP,0.5987654320987654,25,625,UFA,70,4900,5900000,4250000,1188148,53.45,2856.9025,4500000,18000000,4500000,97,0.82,0.6723999999999999,1.46,2.1315999999999997,9,32,1024,4,16
SD,6.2,2018,2,65,4225,5,3,25,625,24,576,5.176470588235294,26.795847750865054,0.02390998593530239,0.0005716874274263581,0.12376933895921238,0.015318849266400408,2.73,7.4529,34,San Diego Padres,SD,California,79.0,6241.0,73,162,5329,0,0,Craig Stammen,3,9,2,228,5,RP,0.4074074074074074,0,0,UFA,88,7744,3250000,2250000,3250000,81.87,6702.696900000001,4500000,149500000,2250000,66,1.47,2.1609,1.04,1.0816000000000001,0,17,289,8,64
DET,6.3,2018,1,127,16129,1,3,84,7056,68,4624,1.5068493150684932,2.270594858322387,0.060666500457076375,0.003680424277708448,0.09141527466134797,0.008356752441409687,4.58,20.9764,34,Detroit Tigers,HOU,Michigan,133.7,17875.69,27,162,729,26,676,Francisco Liriano,12,144,11,218,16,SP,0.3950617283950617,0,0,UFA,110,12100,4000000,4000000,4000000,22.68,514.3824,4000000,11750000,4000000,64,0.0,0.0,1.5,2.25,4,73,5329,5,25
TEX,6.8,2018,1,73,5329,2,4,40,1600,33,1089,2.1052631578947367,4.432132963988919,0.03198653198653199,0.0010231382285254339,0.06734006734006734,0.004534684669364804,4.5,20.25,34,Texas Rangers,BOS,Texas,66.0,4356.0,12,162,144,12,144,Doug Fister,7,49,2,210,8,SP,0.4135802469135802,0,0,UFA,40,1600,3500000,3500000,3500000,0.0,0.0,4000000,35000000,4000000,67,0.82,0.6723999999999999,1.39,1.9320999999999997,0,19,361,1,1
TB,6.3,2018,1,0,0,2,2,3,9,3,9,0.0,0.0,1.4814814814814816,2.1947873799725657,0.0,0.0,81.0,6561.0,32,Tampa Bay Rays,TEX,Florida,0.3,0.09,118,162,13924,97,9409,Carlos Gomez,0,0,1,220,4,RF,0.5555555555555556,0,0,UFA,0,0,4400000,4000000,4400000,20.15,406.0224999999999,4000000,6500000,4000000,90,0.61,0.3721,12.0,144.0,0,4,16,0,0
STL,0.0,2018,1,51,2601,2,3,27,729,23,529,3.1904761904761907,10.179138321995467,0.04043905257076834,0.0016353169728213653,0.12901983439245135,0.016646117666655573,3.59,12.8881,33,St. Louis Cardinals,LAA,Missouri,57.7,3329.2900000000004,64,162,4096,0,0,Bud Norris,6,36,23,215,28,RP,0.5432098765432098,28,784,UFA,67,4489,3000000,3000000,3000000,53.0,2809.0,3000000,28000000,3000000,88,-0.02,0.0004,1.25,1.5625,11,21,441,3,9
ATL,6.0,2018,1,106,11236,1,4,48,2304,43,1849,3.2142857142857144,10.331632653061225,0.03413801511826384,0.0011654040762148104,0.1097293343087052,0.012040526807831587,2.83,8.0089,34,Atlanta Braves,DET,Georgia,136.7,18686.889999999996,25,162,625,24,576,Anibal Sanchez,6,36,18,205,24,SP,0.5555555555555556,0,0,UFA,135,18225,1000000,1000000,1000000,84.95,7216.5025000000005,2500000,2900000,2500000,90,3.01,9.060099999999998,1.08,1.1664,3,42,1764,7,49
NYM,0.0,2018,1,5,25,2,8,6,36,6,36,0.0,0.0,0.2222222222222222,0.04938271604938271,0.0,0.0,54.0,2916.0,35,New York Mets,NYM,New York,1.0,1.0,110,162,12100,48,2304,Jose Reyes,0,0,5,195,9,3B,0.4753086419753086,0,0,UFA,0,0,2000000,2000000,2000000,4.53,20.5209,2000000,89635000,2000000,77,-0.8,0.6400000000000001,7.0,49.0,2,2,4,0,0
KC,6.1,2018,1,28,784,2,6,14,196,14,196,1.5217391304347827,2.3156899810964084,0.07450599287333981,0.005551142974042162,0.11337868480725624,0.012854726168623157,3.67,13.4689,29,Kansas City Royals,MIL,Missouri,34.3,1176.4899999999998,37,162,1369,0,0,Wily Peralta,0,0,4,255,9,RP,0.4938271604938271,14,196,UFA,35,1225,1500000,1500000,1500000,0.0,0.0,1525000,16775000,1525000,80,0.42,0.17639999999999997,1.49,2.2201,2,23,529,1,1
ARI,6.3,2018,1,80,6400,1,2,25,625,22,484,3.6818181818181817,13.555785123966942,0.024867186616932296,0.0006183769702413367,0.09155645981688709,0.00838258533420126,2.01,4.040099999999999,33,Arizona Diamondbacks,PHI,Arizona,98.3,9662.89,17,162,289,17,289,Clay Buchholz,2,4,1,190,6,SP,0.5061728395061729,0,0,UFA,81,6561,1500000,1500000,1080645,93.12,8671.334400000002,1500000,15750000,1500000,82,3.15,9.9225,1.04,1.0816000000000001,1,22,484,7,49
TEX,0.0,2018,1,19,361,2,4,11,121,7,49,5.2,27.040000000000003,0.021123785382340513,0.0004462143088791827,0.10984368398817067,0.012065634912093101,2.39,5.7121,34,Texas Rangers,TEX,Texas,26.3,691.69,22,162,484,0,0,Tony Barnette,0,0,2,190,8,RP,0.4135802469135802,0,0,UFA,26,676,1500000,1500000,1500000,0.0,0.0,1500000,35000000,1500000,67,0.44,0.1936,0.91,0.8281000000000001,0,5,25,2,4
CHC,6.2,2018,1,84,7056,2,7,28,784,27,729,5.411764705882353,29.287197231833915,0.01982045004080681,0.00039285023982011866,0.10726361198554274,0.011505482456185068,2.55,6.5024999999999995,34,Chicago Cubs,LAA,Illinois,95.3,9082.09,63,163,3969,0,0,Jesse Chavez,3,9,17,175,20,RP,0.5828220858895705,5,25,UFA,92,8464,1500000,1000000,397824,83.9,7039.210000000001,1500000,215545000,1500000,95,1.17,1.3688999999999998,1.06,1.1236000000000002,3,17,289,5,25
OAK,6.4,2018,1,90,8100,5,3,52,2704,46,2116,2.4390243902439024,5.94883997620464,0.04141414141414142,0.0017151311090705032,0.10101010101010101,0.010203040506070809,3.76,14.137599999999999,30,Oakland Athletics,KC,California,110.0,12100.0,21,162,441,20,400,Trevor Cahill,4,16,15,230,27,SP,0.5987654320987654,0,0,UFA,100,10000,1500000,1500000,1500000,69.84,4877.6256,1500000,18000000,1500000,97,1.29,1.6641000000000001,1.19,1.4161,9,41,1681,7,49
SEA,6.3,2018,1,19,361,1,3,20,400,20,400,0.7857142857142857,0.6173469387755102,0.0899165061014772,0.008084978069496986,0.07064868336544636,0.004991236461271097,10.39,107.95210000000002,29,Seattle Mariners,CHC,Washington,17.3,299.29,21,162,441,0,0,Justin Grimm,3,9,0,210,4,RP,0.5493827160493827,0,0,UFA,11,121,545000,545000,87900,0.0,0.0,1250000,17750000,1250000,89,-1.42,2.0164,1.9,3.61,0,14,196,1,1
MIL,6.5,2018,1,83,6889,1,5,42,1764,40,1600,3.0,9.0,0.03547447105029773,0.001258438096298412,0.10642341315089318,0.011325942866685704,4.11,16.892100000000003,27,Milwaukee Brewers,SD,Wisconsin,87.7,7691.290000000001,37,163,1369,9,81,Jordan Lyles,4,16,1,230,5,SP,0.588957055214724,0,0,UFA,84,7056,750000,750000,229824,28.5,812.25,1000000,103750000,1000000,96,0.2,0.04000000000000001,1.27,1.6129,0,28,784,3,9
TEX,6.2,2018,1,107,11449,2,4,68,4624,67,4489,1.2340425531914894,1.5228610230873698,0.0553788146577118,0.0030668131128931955,0.06833981383292094,0.004670330154718292,6.39,40.8321,32,Texas Rangers,MIL,Texas,94.3,8892.49,21,162,441,18,324,Yovani Gallardo,8,64,2,205,8,SP,0.4135802469135802,0,0,UFA,58,3364,2300000,2000000,1139785,11.95,142.80249999999998,750000,35000000,750000,67,-0.39,0.1521,1.63,2.6569,0,47,2209,8,64
MIL,6.3,2018,1,66,4356,1,5,27,729,23,529,1.9565217391304348,3.827977315689981,0.03974425436322793,0.001579605754888962,0.07776049766718508,0.006046694997448297,3.22,10.368400000000001,31,Milwaukee Brewers,TB,Wisconsin,64.3,4134.49,73,163,5329,1,1,Dan Jennings,5,25,1,210,5,RP,0.588957055214724,1,1,UFA,45,2025,750000,750000,750000,40.02,1601.6004000000003,750000,103750000,750000,96,0.34,0.11560000000000002,1.38,1.9043999999999996,0,23,529,4,16
ATL,6.2,2018,1,32,1024,1,4,14,196,14,196,1.2777777777777777,1.6327160493827158,0.07067137809187278,0.004994443681404436,0.09030231645072634,0.008154508356367121,4.45,19.802500000000002,39,Atlanta Braves,KC,Georgia,28.3,800.89,39,162,1521,0,0,Peter Moylan,1,1,18,220,24,RP,0.5555555555555556,0,0,UFA,23,529,575000,575000,575000,0.0,0.0,575000,2900000,575000,90,-0.04,0.0016,1.76,3.0976,3,18,324,0,0
