"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Payroll Salary2022","Cash2022","AAV2022","Earnings2022","Age","Weight","Height",""
"","Hyun-Jin Ryu","SP","LAD","30","29","182.7","160","53","47","24","163","14","5","0","1.01","2.32","5.07","93.50","$20,000,000","$20,000,000","$20,000,000","$101,382,407","32","255","6'3""",""
"","Walker Buehler","SP","LAD","30","30","182.3","153","77","66","37","215","14","4","0","1.04","3.26","2.18","92.07","$7,250,000","$6,250,000","$4,000,000","$14,162,267","24","185","6'2""",""
"","Masahiro Tanaka","SP","NYY","32","31","182.0","186","95","90","40","149","11","9","0","1.24","4.45","1.71","27.51","$0","$0","$0","$0","30","215","0'0""",""
"","Jeff Samardzija","SP","SF","32","32","181.3","152","78","71","49","140","11","12","0","1.11","3.52","2.91","58.61","$0","$0","$0","$0","34","240","0'0""",""
"","Yu Darvish","SP","CHC","31","31","178.7","140","82","79","56","229","6","8","0","1.10","3.98","3.31","46.25","$19,000,000","$19,000,000","$21,000,000","$153,305,991","32","220","6'5""",""
"","Clayton Kershaw","SP","LAD","29","28","178.3","145","63","60","41","189","16","5","0","1.04","3.03","3.54","62.92","$17,000,000","$17,000,000","$17,000,000","$268,342,641","31","225","6'4""",""
"","Kyle Hendricks","SP","CHC","31","30","177.0","168","78","68","32","150","11","10","0","1.13","3.46","3.78","77.82","$14,000,000","$14,000,000","$13,875,000","$46,149,468","29","190","6'3""",""
"","Lucas Giolito","SP","CHW","29","29","176.7","131","69","67","57","228","14","9","0","1.06","3.41","5.61","96.72","$7,450,000","$7,450,000","$7,450,000","$16,113,212","24","245","6'6""",""
"","Brett Anderson","SP","OAK","32","31","176.0","181","80","76","49","90","13","9","0","1.31","3.89","2.52","78.02","$0","$0","$0","$0","31","230","6'4""",""
"","Jake Junis","SP","KC","31","31","175.3","192","108","102","58","164","9","14","0","1.43","5.24","0.82","39.04","$1,750,000","$1,750,000","$1,750,000","$5,701,769","26","220","6'3""",""
"","Julio Teheran","SP","ATL","35","33","174.7","148","81","74","83","162","10","11","0","1.32","3.81","2.70","64.43","$0","$0","$0","$0","28","205","6'2""",""
"","Michael Soroka","SP","ATL","29","29","174.7","153","56","52","41","142","13","4","0","1.11","2.68","5.68","98.88","$0","$0","$0","$0","21","225","6'5""",""
"","Dakota Hudson","SP","STL","33","32","174.7","160","80","65","86","136","16","7","1","1.41","3.35","2.23","76.79","$1,050,000","$1,050,000","$1,050,000","$4,613,180","24","215","6'5""",""
"","Rick Porcello","SP","BOS","32","32","174.3","198","114","107","45","143","14","12","0","1.39","5.52","1.22","15.13","$0","$0","$0","$0","30","205","0'0""",""
"","Robbie Ray","SP","ARI","34","33","174.3","150","91","84","84","235","12","8","0","1.34","4.34","1.53","47.69","$21,000,000","$21,000,000","$23,000,000","$44,458,723","27","215","6'2""",""
"","German Marquez","SP","COL","29","28","174.0","174","96","92","35","175","12","5","0","1.20","4.76","3.48","77.64","$11,300,000","$11,000,000","$8,600,000","$24,053,538","24","230","6'1""",""
"","Max Scherzer","SP","WSH","29","27","172.3","144","59","56","33","243","11","7","0","1.03","2.93","5.79","77.43","$43,333,333","$43,333,333","$43,333,333","$197,908,333","34","208","6'3""",""
"","Jon Lester","SP","CHC","32","31","171.7","205","101","85","52","165","13","10","0","1.50","4.46","1.26","19.26","$0","$0","$0","$0","35","240","6'4""",""
"","Adam Wainwright","SP","STL","32","32","171.7","181","83","80","64","153","14","10","0","1.43","4.19","1.84","67.20","$17,500,000","$17,500,000","$17,500,000","$175,065,963","37","230","6'7""",""
"","Jose Quintana","SP","CHC","32","31","171.0","191","100","89","46","152","13","9","0","1.39","4.68","1.15","53.40","$2,000,000","$714,285","$2,000,000","$51,289,259","30","220","6'1""",""
"","Joe Musgrove","SP","PIT","46","31","170.3","168","98","84","39","157","11","12","0","1.22","4.44","1.66","56.23","$8,625,000","$8,625,000","$8,625,000","$16,483,636","26","235","6'5""",""
"","Wade Miley","SP","HOU","33","33","167.3","164","83","74","61","140","14","6","0","1.35","3.98","1.99","64.33","$10,000,000","$10,000,000","$7,500,000","$49,918,222","32","220","6'2""",""
"","Anthony DeSclafani","SP","CIN","31","31","166.7","151","77","72","49","167","9","9","0","1.20","3.89","2.87","73.80","$12,000,000","$12,000,000","$12,000,000","$25,705,463","29","195","6'1""",""
"","Anibal Sanchez","SP","WSH","30","30","166.0","153","77","71","58","134","11","8","0","1.27","3.85","3.66","70.67","$2,000,000","$2,000,000","$2,000,000","$117,315,374","35","205","6'0""",""
"","Max Fried","SP","ATL","40","30","165.7","174","80","74","47","173","17","6","0","1.33","4.02","2.60","77.29","$6,850,000","$6,850,000","$6,850,000","$14,567,338","25","190","6'4""",""
"","Martin Perez","SP","MIN","32","29","165.3","184","104","94","67","135","10","7","0","1.52","5.12","0.23","32.44","$4,000,000","$4,000,000","$4,000,000","$34,166,681","28","200","6'0""",""
"","Tanner Roark","SP","OAK","31","31","165.3","180","84","80","51","158","10","10","0","1.40","4.36","1.57","38.00","$0","$0","$0","$0","32","238","6'2""",""
"","Brad Keller","SP","KC","28","28","165.3","154","80","77","70","122","7","14","0","1.36","4.19","2.63","73.65","$4,825,000","$4,825,000","$4,825,000","$9,650,212","23","255","6'5""",""
"","Joey Lucchesi","SP","SD","30","30","163.7","144","78","76","56","158","10","10","0","1.22","4.18","1.98","71.98","$1,150,000","$1,150,000","$1,150,000","$2,978,513","26","204","6'5""",""
"","Homer Bailey","SP","OAK","33","31","163.3","162","84","83","53","149","13","9","0","1.32","4.57","1.00","61.42","$0","$0","$0","$0","33","223","6'4""",""
"","Zach Eflin","SP","PHI","32","28","163.3","172","88","75","48","129","10","13","0","1.35","4.13","1.46","59.49","$5,550,000","$5,550,000","$5,700,000","$13,993,844","25","215","6'6""",""
"","Dylan Bundy","SP","BAL","30","30","161.7","161","95","86","58","162","6","14","0","1.36","4.79","2.32","47.20","$4,000,000","$4,000,000","$5,000,000","$28,281,852","26","200","6'1""",""
"","Yusei Kikuchi","SP","SEA","32","32","161.7","195","109","98","50","116","6","11","0","1.51","5.46","0.39","6.57","$16,000,000","$16,000,000","$12,000,000","$50,185,185","28","194","6'0""",""
"","J.A. Happ","SP","NYY","32","29","161.3","160","88","88","49","140","12","8","0","1.29","4.91","1.21","23.16","$0","$0","$0","$0","36","205","6'5""",""
"","Steven Matz","SP","NYM","36","30","160.3","163","83","75","52","153","11","10","0","1.34","4.21","1.91","55.16","$8,500,000","$10,000,000","$11,000,000","$22,538,438","28","201","6'2""",""
"","Kyle Gibson","SP","MIN","34","29","160.0","175","99","86","56","160","13","7","0","1.44","4.84","0.29","28.95","$7,000,000","$7,000,000","$9,333,333","$42,272,129","31","215","6'6""",""
"","Zach Davies","SP","MIL","35","31","159.7","155","73","63","51","102","10","7","0","1.29","3.55","2.61","71.86","$1,500,000","$1,500,000","$1,750,000","$16,967,264","26","180","6'0""",""
"","Jake Odorizzi","SP","MIN","30","30","159.0","139","65","62","53","178","15","7","0","1.21","3.51","3.63","80.70","$8,000,000","$1,758,272","$7,833,333","$44,645,332","29","190","6'2""",""
"","John Means","RP","BAL","31","27","155.0","138","68","62","38","121","12","11","0","1.13","3.60","4.49","0.00","$2,950,000","$2,950,000","$2,962,500","$4,334,325","26","235","6'3""",""
"","Trent Thornton","SP","TOR","32","29","154.3","156","87","83","61","149","6","9","0","1.41","4.84","1.72","46.51","$0","$0","$0","$0","25","195","6'0""",""
"","Kenta Maeda","RP","LAD","41","26","153.7","114","70","69","51","169","10","8","3","1.07","4.04","1.33","0.00","$3,125,000","$3,000,000","$3,125,000","$49,414,704","31","184","6'1""",""
"","Caleb Smith","SP","MIA","30","28","153.3","128","82","77","60","168","10","11","0","1.23","4.52","1.46","58.96","$2,000,000","$2,000,000","$2,000,000","$5,525,334","27","205","6'2""",""
"","James Paxton","SP","NYY","29","29","150.7","138","71","64","55","186","15","6","0","1.28","3.82","2.24","63.27","$6,000,000","$6,000,000","$10,000,000","$37,011,146","30","235","6'4""",""
"","Andrew Cashner","RP","BOS","42","22","150.0","144","84","78","58","108","11","8","1","1.35","4.68","2.69","0.00","$0","$0","$0","$0","32","235","6'6""",""
"","Jon Gray","SP","COL","27","25","150.0","147","70","64","56","150","11","8","0","1.35","3.84","4.47","82.55","$15,000,000","$15,000,000","$14,000,000","$32,530,988","27","225","6'4""",""
"","Jason Vargas","SP","PHI","30","29","149.7","141","84","75","63","124","7","9","0","1.36","4.51","1.62","40.36","$0","$0","$0","$0","36","215","6'0""",""
"","Eric Lauer","SP","SD","30","29","149.7","158","82","74","51","138","8","10","0","1.40","4.45","0.99","52.04","$2,425,000","$2,425,000","$2,425,000","$5,990,843","24","205","6'3""",""
"","Spencer Turnbull","SP","DET","30","29","148.3","154","86","76","59","146","3","17","0","1.44","4.61","2.27","49.68","$1,500,000","$1,500,000","$1,825,000","$3,814,007","26","215","6'3""",""
"","Chris Sale","SP","BOS","25","25","147.3","123","80","72","37","218","6","11","0","1.09","4.40","2.32","22.91","$30,000,000","$20,000,000","$29,000,000","$109,195,275","30","183","6'6""",""
"","Michael Pineda","SP","MIN","26","26","146.0","141","68","65","28","140","11","5","0","1.16","4.01","2.49","72.52","$5,500,000","$5,500,000","$5,500,000","$39,279,247","30","280","6'7""",""
"","Trevor Williams","SP","PIT","26","26","145.7","162","93","87","44","113","7","9","0","1.41","5.38","0.45","34.94","$3,900,000","$3,900,000","$3,900,000","$10,830,067","27","230","6'3""",""
"","Daniel Norris","SP","DET","33","29","144.3","154","75","72","38","125","3","13","0","1.33","4.49","2.89","50.09","$700,000","$700,000","$700,000","$11,997,212","26","185","6'2""",""
"","Chris Bassitt","SP","OAK","28","25","144.0","125","66","61","47","141","10","5","0","1.19","3.81","1.77","69.51","$8,650,000","$8,650,000","$8,800,000","$15,922,118","30","217","6'5""",""
"","Domingo German","SP","NYY","27","24","143.0","125","69","64","39","153","18","4","0","1.15","4.03","1.93","76.94","$1,750,000","$1,750,000","$1,750,000","$3,437,226","26","181","6'2""",""
"","Cole Hamels","SP","CHC","27","27","141.7","141","64","60","56","143","7","7","0","1.39","3.81","3.01","36.19","$0","$0","$0","$0","35","205","6'4""",""
"","Ryan Yarbrough","SP","TB","28","14","141.7","121","69","65","20","117","11","6","0","1.00","4.13","1.48","77.14","$3,850,000","$3,850,000","$3,850,000","$7,388,543","27","205","6'5""",""
"","Jordan Lyles","SP","MIL","28","28","141.0","131","72","65","55","146","12","8","0","1.32","4.15","0.11","50.14","$6,000,000","$6,000,000","$7,000,000","$32,444,136","28","230","6'5""",""
"","Chris Paddack","SP","SD","26","26","140.7","107","58","52","31","153","9","7","0","0.98","3.33","2.74","87.62","$2,250,000","$2,250,000","$2,250,000","$4,004,047","23","217","6'5""",""
"","Chase Anderson","RP","MIL","34","27","139.0","126","67","65","50","124","8","4","0","1.27","4.21","1.80","0.00","$700,000","$142,302","$700,000","$23,108,150","31","200","6'1""",""
"","Glenn Sparkman","SP","KC","31","23","136.0","164","96","91","41","81","4","11","0","1.51","6.02","-0.20","12.84","$0","$0","$0","$0","27","210","6'2""",""
"","Jake Arrieta","SP","PHI","24","24","135.7","149","76","70","51","110","8","8","0","1.47","4.64","0.90","16.71","$0","$0","$0","$0","33","230","6'4""",""
"","Trevor Richards","SP","TB","31","23","135.3","127","63","61","56","127","6","12","0","1.35","4.06","1.26","50.67","$1,000,000","$1,000,000","$1,000,000","$2,567,491","26","195","6'2""",""
"","Yonny Chirinos","SP","TB","26","18","133.3","112","61","57","28","114","9","5","0","1.05","3.85","2.29","79.83","$1,175,000","$1,175,000","$1,175,000","$3,533,873","25","225","6'2""",""
"","Aaron Sanchez","SP","HOU","30","27","131.3","145","92","86","68","115","5","14","0","1.62","5.89","-0.38","11.98","$700,000","$169,224","$700,000","$13,666,572","26","210","6'4""",""
"","Danny Duffy","SP","KC","23","23","130.7","125","69","63","46","115","7","6","0","1.31","4.34","1.76","38.58","$3,000,000","$3,000,000","$3,000,000","$67,305,782","30","205","6'3""",""
"","Tyler Mahle","SP","CIN","27","25","129.7","136","82","74","34","129","3","12","0","1.31","5.14","0.10","33.43","$5,200,000","$1,828,544","$5,200,000","$8,885,917","24","210","6'3""",""
"","Michael Wacha","SP","STL","29","24","126.7","143","71","67","55","104","6","7","0","1.56","4.76","0.24","18.92","$7,000,000","$7,000,000","$7,000,000","$29,716,239","28","215","6'6""",""
"","Adrian Sampson","RP","TEX","35","15","125.3","156","86","82","36","101","6","8","0","1.53","5.89","1.20","0.00","$700,000","$415,368","$700,000","$1,939,888","27","210","6'3""",""
"","Antonio Senzatela","SP","COL","25","25","124.7","161","99","93","57","76","11","11","0","1.75","6.71","-0.12","18.99","$7,250,000","$7,250,000","$10,100,000","$12,068,318","24","236","6'1""",""
"","Jorge Lopez","SP","KC","39","18","123.7","140","94","87","42","109","4","9","1","1.47","6.33","-1.34","7.41","$1,500,000","$527,488","$1,500,000","$4,367,188","26","200","6'3""",""
"","Ariel Jurado","SP","TEX","32","18","122.3","148","94","79","36","81","7","11","0","1.50","5.81","-0.16","16.40","$0","$0","$0","$0","23","180","6'1""",""
"","Brandon Woodruff","SP","MIL","27","22","121.7","109","49","49","30","143","11","3","0","1.14","3.63","2.90","89.30","$6,800,000","$6,800,000","$6,800,000","$14,038,123","26","243","6'4""",""
"","Wade LeBlanc","RP","SEA","26","10","121.3","145","80","77","31","92","6","7","0","1.45","5.71","0.25","0.00","$0","$0","$0","$0","34","195","6'2""",""
"","Chris Archer","SP","PIT","24","23","119.7","114","73","69","55","143","3","9","0","1.41","5.19","0.71","27.70","$2,750,000","$2,750,000","$3,500,000","$37,550,999","30","195","6'2""",""
"","Vincent Velasquez","SP","PHI","35","23","117.3","120","69","64","43","130","7","8","0","1.39","4.91","0.12","20.68","$3,000,000","$3,000,000","$3,000,000","$13,139,412","27","205","6'3""",""
"","Mike Foltynewicz","SP","ATL","21","21","117.0","109","65","59","37","105","8","6","0","1.25","4.54","0.92","47.98","$0","$0","$0","$0","27","200","6'4""",""
"","Tyler Beede","SP","SF","25","22","117.0","127","70","66","46","113","5","10","0","1.48","5.08","0.08","30.04","$730,000","$585,606","$730,000","$4,378,499","26","211","6'3""",""
"","Matthew Strahm","SP","SD","48","16","114.7","121","61","60","22","118","6","11","0","1.25","4.71","0.71","28.24","$3,000,000","$3,000,000","$3,000,000","$7,489,876","27","190","6'2""",""
"","Drew Smyly","SP","PHI","25","21","114.0","126","83","79","55","120","4","7","1","1.59","6.24","-0.68","4.32","$4,250,000","$4,250,000","$5,250,000","$42,884,336","30","188","6'2""",""
"","Steven Brault","SP","PIT","34","20","113.3","117","69","65","53","100","4","6","0","1.50","5.16","0.60","31.14","$1,500,000","$667,602","$1,500,000","$4,248,362","27","195","6'0""",""
"","Dallas Keuchel","SP","ATL","19","19","112.7","115","50","47","39","91","8","8","0","1.37","3.75","2.05","40.73","$700,000","$149,994","$700,000","$96,126,648","31","205","6'2""",""
"","Jordan Zimmermann","SP","DET","23","23","112.0","145","89","86","25","82","1","13","0","1.52","6.91","-0.34","1.20","$0","$0","$0","$0","33","225","6'2""",""
"","Tom Milone","SP","SEA","23","7","111.7","102","61","59","23","94","4","10","0","1.12","4.76","1.32","46.13","$0","$0","$0","$0","32","215","6'0""",""
"","Adrian Houser","SP","MIL","35","18","111.3","101","49","46","37","117","6","7","0","1.24","3.72","1.72","52.41","$2,425,000","$2,425,000","$2,425,000","$4,285,389","26","222","6'3""",""
"","Pablo Lopez","SP","MIA","22","21","111.3","111","64","63","27","95","5","8","0","1.24","5.09","0.50","49.08","$2,450,000","$2,450,000","$2,450,000","$4,085,453","23","225","6'4""",""
"","Gabriel Ynoa","SP","BAL","36","13","110.7","126","77","69","26","67","1","10","0","1.37","5.61","0.06","11.73","$0","$0","$0","$0","26","205","6'2""",""
"","Aaron Brooks","SP","BAL","29","18","110.0","118","72","69","34","82","6","8","1","1.38","5.65","0.06","19.99","$0","$0","$0","$0","29","230","6'4""",""
"","C.C. Sabathia","SP","NYY","24","22","107.3","112","64","59","39","107","5","8","0","1.41","4.95","0.37","14.98","$0","$0","$0","$0","38","300","6'6""",""
"","David Price","SP","BOS","22","22","107.3","109","57","51","32","128","7","5","0","1.31","4.28","1.83","13.02","$32,000,000","$16,000,000","$31,000,000","$248,042,498","33","215","6'5""",""
"","Blake Snell","SP","TB","23","23","107.0","96","53","51","40","147","6","8","0","1.27","4.29","1.39","46.81","$13,100,000","$12,500,000","$10,000,000","$31,738,367","26","225","6'4""",""
"","Kyle Freeland","SP","COL","22","22","104.3","126","85","78","39","79","3","11","0","1.58","6.73","-0.70","8.03","$7,000,000","$7,000,000","$12,900,000","$16,909,249","26","201","6'4""",""
"","Drew Pomeranz","RP","MIL","46","18","104.0","105","58","56","44","137","2","10","2","1.43","4.85","-0.36","0.00","$10,000,000","$10,000,000","$8,500,000","$42,687,462","30","246","6'5""",""
"","Jhoulys Chacin","SP","BOS","25","24","103.3","115","73","69","46","101","3","12","0","1.56","6.01","-0.67","10.85","$1,250,000","$1,250,000","$1,250,000","$30,239,595","31","215","6'3""",""
"","Cal Quantrill","SP","SD","23","18","103.0","106","61","59","28","89","6","8","0","1.30","5.16","0.07","40.84","$2,510,000","$2,510,000","$2,510,000","$7,661,927","24","195","6'3""",""
"","Trevor Cahill","RP","LAA","39","11","102.3","111","71","68","39","81","4","9","0","1.47","5.98","-0.36","0.00","$0","$0","$0","$0","31","230","6'4""",""
"","Kevin Gausman","RP","CIN","31","17","102.3","113","71","65","32","114","3","9","0","1.42","5.72","-0.90","0.00","$21,000,000","$21,000,000","$22,000,000","$63,094,346","28","190","6'3""",""
"","Dereck Rodriguez","SP","SF","29","16","99.0","108","74","62","36","71","6","11","0","1.46","5.64","-1.35","16.13","$0","$0","$0","$0","27","215","6'1""",""
"","Felix Pena","SP","LAA","23","8","96.3","80","56","49","34","101","8","3","0","1.18","4.58","0.81","52.68","$0","$0","$0","$0","29","220","6'2""",""
"","Frankie Montas","SP","OAK","16","16","96.0","84","35","28","23","103","9","2","0","1.12","2.63","2.27","0.00","$5,025,000","$1,794,650","$5,025,000","$8,300,288","26","255","6'2""",""
"","Shaun Anderson","RP","SF","28","16","96.0","111","61","58","38","70","3","5","2","1.55","5.44","-0.45","0.00","$0","$0","$0","$0","24","228","6'4""",""
"","Sam Gaviglio","RP","TOR","52","0","95.7","85","51","49","22","88","4","2","0","1.12","4.61","0.69","62.26","$0","$0","$0","$0","29","205","6'2""",""
"","Andrew Heaney","SP","LAA","18","18","95.3","93","53","52","30","118","4","6","0","1.29","4.91","0.96","37.50","$8,500,000","$8,500,000","$8,500,000","$24,987,220","28","200","6'2""",""
"","Nick Pivetta","RP","PHI","30","13","93.7","103","64","56","39","89","4","6","1","1.52","5.38","-0.47","0.00","$2,650,000","$2,650,000","$2,650,000","$5,071,399","26","214","6'5""",""
"","Brad Peacock","SP","HOU","23","15","91.7","78","43","42","31","96","7","6","0","1.19","4.12","1.32","52.30","$0","$0","$0","$0","31","210","6'1""",""
"","Mike Montgomery","SP","KC","34","13","91.0","113","55","50","34","69","3","9","0","1.62","4.95","-0.28","8.56","$0","$0","$0","$0","29","215","6'5""",""
"","Ross Stripling","SP","LAD","32","15","90.7","84","40","35","20","93","4","4","0","1.15","3.47","0.89","48.98","$3,790,000","$3,790,000","$3,790,000","$10,648,361","29","220","6'3""",""
"","Griffin Canning","SP","LAA","19","17","90.3","80","46","46","30","96","5","6","0","1.22","4.58","1.13","49.20","$730,000","$730,000","$730,000","$3,253,946","23","180","6'2""",""
"","Peter Lambert","SP","COL","22","19","89.3","119","74","72","36","57","3","7","0","1.74","7.25","-0.42","6.47","$762,500","$762,500","$762,500","$3,172,940","22","185","6'2""",""
"","Gio Gonzalez","SP","MIL","19","17","87.3","76","36","34","37","78","3","2","0","1.29","3.50","1.88","60.97","$0","$0","$0","$0","33","205","6'0""",""
"","Jose Urena","RP","MIA","25","13","84.7","99","53","49","26","62","4","10","3","1.48","5.21","-0.17","0.00","$700,000","$349,986","$700,000","$10,313,510","27","208","6'2""",""
"","Taylor Clarke","RP","ARI","23","15","84.7","86","55","50","30","68","5","5","1","1.37","5.32","-0.26","0.00","$975,000","$975,000","$975,000","$2,855,064","26","217","6'4""",""
"","Derek Holland","RP","CHC","53","8","84.3","82","61","57","45","82","2","5","0","1.51","6.08","-0.82","2.31","$0","$0","$0","$0","32","213","6'2""",""
"","Wilmer Font","RP","TOR","48","17","84.3","78","42","42","29","95","4","5","0","1.27","4.48","-0.15","0.00","$0","$0","$0","$0","29","250","0'0""",""
"","Junior Guerra","RP","MIL","72","0","83.7","58","35","33","36","77","9","5","3","1.12","3.55","1.28","74.85","$0","$0","$0","$0","34","235","6'0""",""
"","Michael Lorenzen","RP","CIN","106","6","83.3","68","29","27","28","85","1","4","7","1.15","2.92","2.01","81.07","$6,750,000","$6,750,000","$6,750,000","$17,293,531","27","220","6'3""",""
"","Alex Young","SP","ARI","17","15","83.3","72","40","33","27","71","7","5","0","1.19","3.56","0.75","64.56","$0","$0","$0","$0","25","205","6'2""",""
"","Yusmeiro Petit","RP","OAK","80","0","83.0","57","25","25","10","71","5","3","0","0.81","2.71","2.23","81.31","$0","$0","$0","$0","34","252","6'1""",""
"","Jaime Barria","SP","LAA","19","13","82.7","92","61","59","27","75","4","10","0","1.44","6.42","-0.54","8.66","$730,000","$730,000","$730,000","$1,736,825","22","210","6'1""",""
"","Asher Wojciechowski","SP","BAL","17","16","82.3","80","46","45","28","80","4","8","0","1.31","4.92","1.35","26.27","$0","$0","$0","$0","30","235","6'4""",""
"","Elieser Hernandez","SP","MIA","21","15","82.3","76","49","46","26","85","3","5","0","1.24","5.03","0.31","22.35","$0","$0","$0","$0","24","210","6'0""",""
"","Craig Stammen","RP","SD","76","0","82.0","80","36","30","15","73","8","7","4","1.16","3.29","0.84","59.22","$4,000,000","$4,000,000","$4,500,000","$23,675,481","35","228","6'2""",""
"","Luis Cessa","RP","NYY","43","0","81.0","75","42","37","31","75","2","1","1","1.31","4.11","0.38","0.00","$1,800,000","$1,800,000","$1,800,000","$5,259,058","27","208","6'0""",""
